# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $66\,\text{GeV}\leq m_{\ell\ell} < 116\,\text{GeV}$, $|y_{\ell\ell}| < 2.4$
RatioPlotReference=/ATLAS_2015_I1408516/d27-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$p_\text{T}^{\ell\ell}$ [GeV]
YLabel=$1/\sigma$ $\text{d}\sigma/\text{d} p_\text{T}^{\ell\ell}$
XMin=0.9
DrawOnly=/ATLAS_2015_I1408516/d27-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin10_PSon.yoda/ATLAS_2015_I1408516/d27-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/cascade2/YODA_files/hdamp1_pTmin10.yoda/ATLAS_2015_I1408516/d27-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d27-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin10_PSon.yoda/ATLAS_2015_I1408516/d27-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/cascade2/YODA_files/hdamp1_pTmin10.yoda/ATLAS_2015_I1408516/d27-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d27-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d27-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	2.608000e-02	2.487873e-04	2.487873e-04
2.000000e+00	4.000000e+00	5.441000e-02	2.980158e-04	2.980158e-04
4.000000e+00	6.000000e+00	5.505000e-02	2.059782e-04	2.059782e-04
6.000000e+00	8.000000e+00	4.831000e-02	2.213842e-04	2.213842e-04
8.000000e+00	1.000000e+01	4.084000e-02	1.871524e-04	1.871524e-04
1.000000e+01	1.200000e+01	3.429000e-02	1.028700e-04	1.028700e-04
1.200000e+01	1.400000e+01	2.881000e-02	1.077971e-04	1.077971e-04
1.400000e+01	1.600000e+01	2.431000e-02	1.059648e-04	1.059648e-04
1.600000e+01	1.800000e+01	2.076000e-02	7.767681e-05	7.767681e-05
1.800000e+01	2.000000e+01	1.782000e-02	8.358321e-05	8.358321e-05
2.000000e+01	2.250000e+01	1.510000e-02	6.581937e-05	6.581937e-05
2.250000e+01	2.500000e+01	1.259000e-02	6.779922e-05	6.779922e-05
2.500000e+01	2.750000e+01	1.072000e-02	6.432000e-05	6.432000e-05
2.750000e+01	3.000000e+01	9.172000e-03	6.152765e-05	6.152765e-05
3.000000e+01	3.300000e+01	7.677000e-03	4.606200e-05	4.606200e-05
3.300000e+01	3.600000e+01	6.558000e-03	4.399240e-05	4.399240e-05
3.600000e+01	3.900000e+01	5.537000e-03	4.143511e-05	4.143511e-05
3.900000e+01	4.200000e+01	4.745000e-03	3.825541e-05	3.825541e-05
4.200000e+01	4.500000e+01	4.085000e-03	3.721612e-05	3.721612e-05
4.500000e+01	4.800000e+01	3.557000e-03	3.448639e-05	3.448639e-05
4.800000e+01	5.100000e+01	3.060000e-03	2.966780e-05	2.966780e-05
5.100000e+01	5.400000e+01	2.706000e-03	3.120711e-05	3.120711e-05
5.400000e+01	5.700000e+01	2.358000e-03	2.849182e-05	2.849182e-05
5.700000e+01	6.100000e+01	2.011000e-03	2.099546e-05	2.099546e-05
6.100000e+01	6.500000e+01	1.702000e-03	2.139381e-05	2.139381e-05
6.500000e+01	7.000000e+01	1.440000e-03	1.733990e-05	1.733990e-05
7.000000e+01	7.500000e+01	1.138000e-03	1.617402e-05	1.617402e-05
7.500000e+01	8.000000e+01	9.443000e-04	1.338776e-05	1.338776e-05
8.000000e+01	8.500000e+01	7.761000e-04	1.227122e-05	1.227122e-05
8.500000e+01	9.500000e+01	5.740000e-04	6.443134e-06	6.443134e-06
9.500000e+01	1.050000e+02	4.122000e-04	5.181274e-06	5.181274e-06
1.050000e+02	1.250000e+02	2.591000e-04	2.908390e-06	2.908390e-06
1.250000e+02	1.500000e+02	1.337000e-04	1.576300e-06	1.576300e-06
1.500000e+02	1.750000e+02	6.769000e-05	9.948358e-07	9.948358e-07
1.750000e+02	2.000000e+02	3.840000e-05	7.316183e-07	7.316183e-07
2.000000e+02	2.500000e+02	1.753000e-05	3.588302e-07	3.588302e-07
2.500000e+02	3.000000e+02	6.578000e-06	2.052926e-07	2.052926e-07
3.000000e+02	3.500000e+02	2.813000e-06	1.263347e-07	1.263347e-07
3.500000e+02	4.000000e+02	1.194000e-06	6.726789e-08	6.726789e-08
4.000000e+02	4.700000e+02	5.587000e-07	4.441929e-08	4.441929e-08
4.700000e+02	5.500000e+02	1.882000e-07	2.024616e-08	2.024616e-08
5.500000e+02	6.500000e+02	6.450000e-08	1.033631e-08	1.033631e-08
6.500000e+02	9.000000e+02	1.500000e-08	3.016045e-09	3.016045e-09
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin10_PSon.yoda/ATLAS_2015_I1408516/d27-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin10_PSon.yoda/ATLAS_2015_I1408516/d27-x01-y01
ScaledBy=7.31967810491491032e-08
Title=POWHEG PS hdamp1 pTcut10
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	4.270495e-02	1.398694e-03	1.398694e-03
2.000000e+00	4.000000e+00	5.430660e-02	1.572235e-03	1.572235e-03
4.000000e+00	6.000000e+00	5.358435e-02	1.564439e-03	1.564439e-03
6.000000e+00	8.000000e+00	4.785121e-02	1.476655e-03	1.476655e-03
8.000000e+00	1.000000e+01	4.198267e-02	1.388458e-03	1.388458e-03
1.000000e+01	1.200000e+01	3.317985e-02	1.233807e-03	1.233807e-03
1.200000e+01	1.400000e+01	2.889130e-02	1.157977e-03	1.157977e-03
1.400000e+01	1.600000e+01	2.509932e-02	1.075873e-03	1.075873e-03
1.600000e+01	1.800000e+01	1.923077e-02	9.533546e-04	9.533546e-04
1.800000e+01	2.000000e+01	1.873420e-02	9.350088e-04	9.350088e-04
2.000000e+01	2.250000e+01	1.451788e-02	7.312552e-04	7.312552e-04
2.250000e+01	2.500000e+01	1.310942e-02	6.918470e-04	6.918470e-04
2.500000e+01	2.750000e+01	1.126760e-02	6.399439e-04	6.399439e-04
2.750000e+01	3.000000e+01	8.992416e-03	5.789534e-04	5.789534e-04
3.000000e+01	3.300000e+01	7.794630e-03	4.862013e-04	4.862013e-04
3.300000e+01	3.600000e+01	6.350067e-03	4.473958e-04	4.473958e-04
3.600000e+01	3.900000e+01	5.116167e-03	4.015188e-04	4.015188e-04
3.900000e+01	4.200000e+01	4.183220e-03	3.598850e-04	3.598850e-04
4.200000e+01	4.500000e+01	3.551223e-03	3.296753e-04	3.296753e-04
4.500000e+01	4.800000e+01	3.009510e-03	3.039456e-04	3.039456e-04
4.800000e+01	5.100000e+01	2.708559e-03	2.855072e-04	2.855072e-04
5.100000e+01	5.400000e+01	2.257133e-03	2.606312e-04	2.606312e-04
5.400000e+01	5.700000e+01	2.347418e-03	2.691788e-04	2.691788e-04
5.700000e+01	6.100000e+01	1.309137e-03	1.777268e-04	1.777268e-04
6.100000e+01	6.500000e+01	1.399422e-03	1.777268e-04	1.777268e-04
6.500000e+01	7.000000e+01	1.065367e-03	1.386989e-04	1.386989e-04
7.000000e+01	7.500000e+01	8.847960e-04	1.263994e-04	1.263994e-04
7.500000e+01	8.000000e+01	5.958830e-04	1.037299e-04	1.037299e-04
8.000000e+01	8.500000e+01	5.417118e-04	9.890260e-05	9.890260e-05
8.500000e+01	9.500000e+01	3.972553e-04	6.123447e-05	6.123447e-05
9.500000e+01	1.050000e+02	1.986277e-04	4.423059e-05	4.423059e-05
1.050000e+02	1.250000e+02	1.625136e-04	2.708559e-05	2.708559e-05
1.250000e+02	1.500000e+02	5.055976e-05	1.351267e-05	1.351267e-05
1.500000e+02	1.750000e+02	7.222824e-06	5.107308e-06	5.107308e-06
1.750000e+02	2.000000e+02	3.611412e-06	3.611412e-06	3.611412e-06
2.000000e+02	2.500000e+02	1.805706e-06	1.805706e-06	1.805706e-06
2.500000e+02	3.000000e+02	1.805706e-06	1.805706e-06	1.805706e-06
3.000000e+02	3.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+02	4.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+02	5.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e+02	6.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/cascade2/YODA_files/hdamp1_pTmin10.yoda/ATLAS_2015_I1408516/d27-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/cascade2/YODA_files/hdamp1_pTmin10.yoda/ATLAS_2015_I1408516/d27-x01-y01
ScaledBy=8.73701073262839672e-05
Title=POWHEG cascade hdamp1 pTcut10
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	4.215799e-02	1.375665e-03	1.375665e-03
2.000000e+00	4.000000e+00	6.330350e-02	1.677532e-03	1.677532e-03
4.000000e+00	6.000000e+00	5.700860e-02	1.605707e-03	1.605707e-03
6.000000e+00	8.000000e+00	4.947247e-02	1.490180e-03	1.490180e-03
8.000000e+00	1.000000e+01	4.206933e-02	1.375665e-03	1.375665e-03
1.000000e+01	1.200000e+01	3.462187e-02	1.254630e-03	1.254630e-03
1.200000e+01	1.400000e+01	2.792801e-02	1.126719e-03	1.126719e-03
1.400000e+01	1.600000e+01	2.247539e-02	1.009911e-03	1.009911e-03
1.600000e+01	1.800000e+01	2.074652e-02	9.712254e-04	9.712254e-04
1.800000e+01	2.000000e+01	1.604752e-02	8.504002e-04	8.504002e-04
2.000000e+01	2.250000e+01	1.496586e-02	7.354000e-04	7.354000e-04
2.250000e+01	2.500000e+01	1.248338e-02	6.728847e-04	6.728847e-04
2.500000e+01	2.750000e+01	9.433460e-03	5.955441e-04	5.955441e-04
2.750000e+01	3.000000e+01	8.511392e-03	5.494081e-04	5.494081e-04
3.000000e+01	3.300000e+01	6.797293e-03	4.616396e-04	4.616396e-04
3.300000e+01	3.600000e+01	5.999350e-03	4.231410e-04	4.231410e-04
3.600000e+01	3.900000e+01	4.846767e-03	3.830564e-04	3.830564e-04
3.900000e+01	4.200000e+01	4.107930e-03	3.509278e-04	3.509278e-04
4.200000e+01	4.500000e+01	2.984898e-03	2.999347e-04	2.999347e-04
4.500000e+01	4.800000e+01	3.132665e-03	3.042714e-04	3.042714e-04
4.800000e+01	5.100000e+01	2.807578e-03	2.970085e-04	2.970085e-04
5.100000e+01	5.400000e+01	1.832314e-03	2.364276e-04	2.364276e-04
5.400000e+01	5.700000e+01	1.802760e-03	2.345732e-04	2.345732e-04
5.700000e+01	6.100000e+01	1.507226e-03	1.827780e-04	1.827780e-04
6.100000e+01	6.500000e+01	1.063924e-03	1.535642e-04	1.535642e-04
6.500000e+01	7.000000e+01	1.081656e-03	1.384919e-04	1.384919e-04
7.000000e+01	7.500000e+01	6.915506e-04	1.135406e-04	1.135406e-04
7.500000e+01	8.000000e+01	4.964980e-04	9.382929e-05	9.382929e-05
8.000000e+01	8.500000e+01	4.078376e-04	8.504001e-05	8.504001e-05
8.500000e+01	9.500000e+01	2.925791e-04	5.392998e-05	5.392998e-05
9.500000e+01	1.050000e+02	2.039188e-04	4.252001e-05	4.252001e-05
1.050000e+02	1.250000e+02	9.309335e-05	2.031464e-05	2.031464e-05
1.250000e+02	1.500000e+02	3.901055e-05	1.176212e-05	1.176212e-05
1.500000e+02	1.750000e+02	1.063924e-05	6.142569e-06	6.142569e-06
1.750000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.500000e+02	3.546414e-06	2.507693e-06	2.507693e-06
2.500000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	3.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+02	4.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+02	5.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e+02	6.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

