# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $66\,\text{GeV}\leq m_{\ell\ell} < 116\,\text{GeV}$, $|y_{\ell\ell}| < 2.4$
RatioPlotReference=/ATLAS_2015_I1408516/d15-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$\phi^\ast_\eta$
YLabel=$1/\sigma$ $\text{d}\sigma/\text{d}\phi^\ast_\eta$
XMin=0.001
DrawOnly=/ATLAS_2015_I1408516/d15-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d15-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/cascade2/YODA_files/hdamp1_pTmin100.yoda/ATLAS_2015_I1408516/d15-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d15-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d15-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/cascade2/YODA_files/hdamp1_pTmin100.yoda/ATLAS_2015_I1408516/d15-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d15-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d15-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	9.362000e+00	2.808600e-02	2.808600e-02
4.000000e-03	8.000000e-03	9.267000e+00	2.269942e-02	2.269942e-02
8.000000e-03	1.200000e-02	9.094000e+00	2.227566e-02	2.227566e-02
1.200000e-02	1.600000e-02	8.855000e+00	2.169023e-02	2.169023e-02
1.600000e-02	2.000000e-02	8.601000e+00	2.106806e-02	2.106806e-02
2.000000e-02	2.400000e-02	8.188000e+00	2.005642e-02	2.005642e-02
2.400000e-02	2.900000e-02	7.825000e+00	1.916726e-02	1.916726e-02
2.900000e-02	3.400000e-02	7.356000e+00	1.801845e-02	1.801845e-02
3.400000e-02	3.900000e-02	6.883000e+00	1.685984e-02	1.685984e-02
3.900000e-02	4.500000e-02	6.403000e+00	1.568408e-02	1.568408e-02
4.500000e-02	5.100000e-02	5.871000e+00	1.438095e-02	1.438095e-02
5.100000e-02	5.700000e-02	5.404000e+00	1.323704e-02	1.323704e-02
5.700000e-02	6.400000e-02	4.960000e+00	1.214947e-02	1.214947e-02
6.400000e-02	7.200000e-02	4.509000e+00	1.104475e-02	1.104475e-02
7.200000e-02	8.100000e-02	4.022000e+00	9.851848e-03	9.851848e-03
8.100000e-02	9.100000e-02	3.580000e+00	8.769173e-03	8.769173e-03
9.100000e-02	1.020000e-01	3.155000e+00	7.728140e-03	7.728140e-03
1.020000e-01	1.140000e-01	2.771000e+00	6.787536e-03	6.787536e-03
1.140000e-01	1.280000e-01	2.394000e+00	5.864078e-03	5.864078e-03
1.280000e-01	1.450000e-01	2.039000e+00	4.994510e-03	4.994510e-03
1.450000e-01	1.650000e-01	1.704000e+00	4.173931e-03	4.173931e-03
1.650000e-01	1.890000e-01	1.398000e+00	3.424387e-03	3.424387e-03
1.890000e-01	2.190000e-01	1.117000e+00	2.736080e-03	2.736080e-03
2.190000e-01	2.580000e-01	8.540000e-01	2.091864e-03	2.091864e-03
2.580000e-01	3.120000e-01	6.210000e-01	2.323569e-03	2.323569e-03
3.120000e-01	3.910000e-01	4.140000e-01	1.549046e-03	1.549046e-03
3.910000e-01	5.240000e-01	2.410000e-01	9.017394e-04	9.017394e-04
5.240000e-01	6.950000e-01	1.240000e-01	5.405035e-04	5.405035e-04
6.950000e-01	9.180000e-01	6.250000e-02	2.724312e-04	2.724312e-04
9.180000e-01	1.153000e+00	3.220000e-02	1.932000e-04	1.932000e-04
1.153000e+00	1.496000e+00	1.660000e-02	1.075803e-04	1.075803e-04
1.496000e+00	1.947000e+00	7.910000e-03	6.377246e-05	6.377246e-05
1.947000e+00	2.522000e+00	3.920000e-03	3.780311e-05	3.780311e-05
2.522000e+00	3.277000e+00	1.980000e-03	2.342768e-05	2.342768e-05
3.277000e+00	5.000000e+00	8.600000e-04	1.081003e-05	1.081003e-05
5.000000e+00	1.000000e+01	2.550000e-04	3.411667e-06	3.411667e-06
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d15-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d15-x01-y01
ScaledBy=1.82060089251016118e-09
Title=POWHEG (hdamp1 pT10)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	1.168853e+02	2.577763e-01	2.577763e-01
4.000000e-03	8.000000e-03	4.697418e+00	5.172392e-02	5.172392e-02
8.000000e-03	1.200000e-02	3.096435e+00	4.212033e-02	4.212033e-02
1.200000e-02	1.600000e-02	2.465471e+00	3.755628e-02	3.755628e-02
1.600000e-02	2.000000e-02	2.126974e+00	3.489894e-02	3.489894e-02
2.000000e-02	2.400000e-02	1.942849e+00	3.338529e-02	3.338529e-02
2.400000e-02	2.900000e-02	1.812503e+00	2.888836e-02	2.888836e-02
2.900000e-02	3.400000e-02	1.764900e+00	2.848765e-02	2.848765e-02
3.400000e-02	3.900000e-02	1.690352e+00	2.791554e-02	2.791554e-02
3.900000e-02	4.500000e-02	1.648138e+00	2.513801e-02	2.513801e-02
4.500000e-02	5.100000e-02	1.630923e+00	2.503752e-02	2.503752e-02
5.100000e-02	5.700000e-02	1.621567e+00	2.499553e-02	2.499553e-02
5.700000e-02	6.400000e-02	1.608041e+00	2.299529e-02	2.299529e-02
6.400000e-02	7.200000e-02	1.643928e+00	2.172850e-02	2.172850e-02
7.200000e-02	8.100000e-02	1.688307e+00	2.078876e-02	2.078876e-02
8.100000e-02	9.100000e-02	1.796336e+00	2.033562e-02	2.033562e-02
9.100000e-02	1.020000e-01	1.942493e+00	2.018092e-02	2.018092e-02
1.020000e-01	1.140000e-01	2.286212e+00	2.093887e-02	2.093887e-02
1.140000e-01	1.280000e-01	2.252958e+00	1.926048e-02	1.926048e-02
1.280000e-01	1.450000e-01	1.910324e+00	1.610390e-02	1.610390e-02
1.450000e-01	1.650000e-01	1.599525e+00	1.357458e-02	1.357458e-02
1.650000e-01	1.890000e-01	1.278860e+00	1.108864e-02	1.108864e-02
1.890000e-01	2.190000e-01	1.040677e+00	8.941672e-03	8.941672e-03
2.190000e-01	2.580000e-01	7.645944e-01	6.727643e-03	6.727643e-03
2.580000e-01	3.120000e-01	5.344931e-01	4.779562e-03	4.779562e-03
3.120000e-01	3.910000e-01	3.493476e-01	3.185537e-03	3.185537e-03
3.910000e-01	5.240000e-01	1.883958e-01	1.806623e-03	1.806623e-03
5.240000e-01	6.950000e-01	9.635608e-02	1.136126e-03	1.136126e-03
6.950000e-01	9.180000e-01	4.547229e-02	6.820315e-04	6.820315e-04
9.180000e-01	1.153000e+00	2.310394e-02	4.729473e-04	4.729473e-04
1.153000e+00	1.496000e+00	1.154787e-02	2.760383e-04	2.760383e-04
1.496000e+00	1.947000e+00	5.441783e-03	1.658009e-04	1.658009e-04
1.947000e+00	2.522000e+00	2.671073e-03	1.030230e-04	1.030230e-04
2.522000e+00	3.277000e+00	1.365097e-03	6.399428e-05	6.399428e-05
3.277000e+00	5.000000e+00	6.072931e-04	2.825278e-05	2.825278e-05
5.000000e+00	1.000000e+01	1.746937e-04	8.925368e-06	8.925368e-06
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/cascade2/YODA_files/hdamp1_pTmin100.yoda/ATLAS_2015_I1408516/d15-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/cascade2/YODA_files/hdamp1_pTmin100.yoda/ATLAS_2015_I1408516/d15-x01-y01
ScaledBy=2.18662845112857868e-06
Title=POWHEG cascade (hdamp1 pT10)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	1.226524e+01	8.291234e-02	8.291234e-02
4.000000e-03	8.000000e-03	1.191411e+01	8.176319e-02	8.176319e-02
8.000000e-03	1.200000e-02	1.135219e+01	7.983041e-02	7.983041e-02
1.200000e-02	1.600000e-02	1.049738e+01	7.676707e-02	7.676707e-02
1.600000e-02	2.000000e-02	9.877210e+00	7.456292e-02	7.456292e-02
2.000000e-02	2.400000e-02	9.264252e+00	7.214887e-02	7.214887e-02
2.400000e-02	2.900000e-02	8.405002e+00	6.144892e-02	6.144892e-02
2.900000e-02	3.400000e-02	7.533882e+00	5.827258e-02	5.827258e-02
3.400000e-02	3.900000e-02	6.874440e+00	5.558827e-02	5.558827e-02
3.900000e-02	4.500000e-02	6.440950e+00	4.920396e-02	4.920396e-02
4.500000e-02	5.100000e-02	5.679145e+00	4.625265e-02	4.625265e-02
5.100000e-02	5.700000e-02	5.203202e+00	4.422264e-02	4.422264e-02
5.700000e-02	6.400000e-02	4.721394e+00	3.901927e-02	3.901927e-02
6.400000e-02	7.200000e-02	4.217756e+00	3.459178e-02	3.459178e-02
7.200000e-02	8.100000e-02	3.782399e+00	3.087548e-02	3.087548e-02
8.100000e-02	9.100000e-02	3.357563e+00	2.756379e-02	2.756379e-02
9.100000e-02	1.020000e-01	2.926461e+00	2.458259e-02	2.458259e-02
1.020000e-01	1.140000e-01	2.503602e+00	2.175592e-02	2.175592e-02
1.140000e-01	1.280000e-01	2.174948e+00	1.880286e-02	1.880286e-02
1.280000e-01	1.450000e-01	1.849215e+00	1.574383e-02	1.574383e-02
1.450000e-01	1.650000e-01	1.593467e+00	1.345701e-02	1.345701e-02
1.650000e-01	1.890000e-01	1.328351e+00	1.123892e-02	1.123892e-02
1.890000e-01	2.190000e-01	1.055729e+00	8.954554e-03	8.954554e-03
2.190000e-01	2.580000e-01	8.107336e-01	6.890468e-03	6.890468e-03
2.580000e-01	3.120000e-01	5.662587e-01	4.894864e-03	4.894864e-03
3.120000e-01	3.910000e-01	3.758562e-01	3.289863e-03	3.289863e-03
3.910000e-01	5.240000e-01	2.070203e-01	1.883711e-03	1.883711e-03
5.240000e-01	6.950000e-01	1.039356e-01	1.174142e-03	1.174142e-03
6.950000e-01	9.180000e-01	5.123256e-02	7.212891e-04	7.212891e-04
9.180000e-01	1.153000e+00	2.546484e-02	4.923393e-04	4.923393e-04
1.153000e+00	1.496000e+00	1.278264e-02	2.894448e-04	2.894448e-04
1.496000e+00	1.947000e+00	6.016969e-03	1.733154e-04	1.733154e-04
1.947000e+00	2.522000e+00	2.843986e-03	1.054679e-04	1.054679e-04
2.522000e+00	3.277000e+00	1.437109e-03	6.512109e-05	6.512109e-05
3.277000e+00	5.000000e+00	6.477545e-04	2.916764e-05	2.916764e-05
5.000000e+00	1.000000e+01	1.939275e-04	9.298013e-06	9.298013e-06
# END HISTO1D

