# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $66\,\text{GeV}\leq m_{\ell\ell} < 116\,\text{GeV}$, $|y_{\ell\ell}| < 2.4$
RatioPlotReference=/ATLAS_2015_I1408516/d27-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$p_\text{T}^{\ell\ell}$ [GeV]
YLabel=$1/\sigma$ $\text{d}\sigma/\text{d} p_\text{T}^{\ell\ell}$
XMin=0.9
DrawOnly=/ATLAS_2015_I1408516/d27-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d27-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/cascade2/YODA_files/hdamp1_pTmin100.yoda/ATLAS_2015_I1408516/d27-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d27-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d27-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/cascade2/YODA_files/hdamp1_pTmin100.yoda/ATLAS_2015_I1408516/d27-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d27-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d27-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	2.608000e-02	2.487873e-04	2.487873e-04
2.000000e+00	4.000000e+00	5.441000e-02	2.980158e-04	2.980158e-04
4.000000e+00	6.000000e+00	5.505000e-02	2.059782e-04	2.059782e-04
6.000000e+00	8.000000e+00	4.831000e-02	2.213842e-04	2.213842e-04
8.000000e+00	1.000000e+01	4.084000e-02	1.871524e-04	1.871524e-04
1.000000e+01	1.200000e+01	3.429000e-02	1.028700e-04	1.028700e-04
1.200000e+01	1.400000e+01	2.881000e-02	1.077971e-04	1.077971e-04
1.400000e+01	1.600000e+01	2.431000e-02	1.059648e-04	1.059648e-04
1.600000e+01	1.800000e+01	2.076000e-02	7.767681e-05	7.767681e-05
1.800000e+01	2.000000e+01	1.782000e-02	8.358321e-05	8.358321e-05
2.000000e+01	2.250000e+01	1.510000e-02	6.581937e-05	6.581937e-05
2.250000e+01	2.500000e+01	1.259000e-02	6.779922e-05	6.779922e-05
2.500000e+01	2.750000e+01	1.072000e-02	6.432000e-05	6.432000e-05
2.750000e+01	3.000000e+01	9.172000e-03	6.152765e-05	6.152765e-05
3.000000e+01	3.300000e+01	7.677000e-03	4.606200e-05	4.606200e-05
3.300000e+01	3.600000e+01	6.558000e-03	4.399240e-05	4.399240e-05
3.600000e+01	3.900000e+01	5.537000e-03	4.143511e-05	4.143511e-05
3.900000e+01	4.200000e+01	4.745000e-03	3.825541e-05	3.825541e-05
4.200000e+01	4.500000e+01	4.085000e-03	3.721612e-05	3.721612e-05
4.500000e+01	4.800000e+01	3.557000e-03	3.448639e-05	3.448639e-05
4.800000e+01	5.100000e+01	3.060000e-03	2.966780e-05	2.966780e-05
5.100000e+01	5.400000e+01	2.706000e-03	3.120711e-05	3.120711e-05
5.400000e+01	5.700000e+01	2.358000e-03	2.849182e-05	2.849182e-05
5.700000e+01	6.100000e+01	2.011000e-03	2.099546e-05	2.099546e-05
6.100000e+01	6.500000e+01	1.702000e-03	2.139381e-05	2.139381e-05
6.500000e+01	7.000000e+01	1.440000e-03	1.733990e-05	1.733990e-05
7.000000e+01	7.500000e+01	1.138000e-03	1.617402e-05	1.617402e-05
7.500000e+01	8.000000e+01	9.443000e-04	1.338776e-05	1.338776e-05
8.000000e+01	8.500000e+01	7.761000e-04	1.227122e-05	1.227122e-05
8.500000e+01	9.500000e+01	5.740000e-04	6.443134e-06	6.443134e-06
9.500000e+01	1.050000e+02	4.122000e-04	5.181274e-06	5.181274e-06
1.050000e+02	1.250000e+02	2.591000e-04	2.908390e-06	2.908390e-06
1.250000e+02	1.500000e+02	1.337000e-04	1.576300e-06	1.576300e-06
1.500000e+02	1.750000e+02	6.769000e-05	9.948358e-07	9.948358e-07
1.750000e+02	2.000000e+02	3.840000e-05	7.316183e-07	7.316183e-07
2.000000e+02	2.500000e+02	1.753000e-05	3.588302e-07	3.588302e-07
2.500000e+02	3.000000e+02	6.578000e-06	2.052926e-07	2.052926e-07
3.000000e+02	3.500000e+02	2.813000e-06	1.263347e-07	1.263347e-07
3.500000e+02	4.000000e+02	1.194000e-06	6.726789e-08	6.726789e-08
4.000000e+02	4.700000e+02	5.587000e-07	4.441929e-08	4.441929e-08
4.700000e+02	5.500000e+02	1.882000e-07	2.024616e-08	2.024616e-08
5.500000e+02	6.500000e+02	6.450000e-08	1.033631e-08	1.033631e-08
6.500000e+02	9.000000e+02	1.500000e-08	3.016045e-09	3.016045e-09
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d27-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d27-x01-y01
ScaledBy=1.82060089251016118e-09
Title=POWHEG (hdamp1 pT10)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	2.371826e-01	5.192446e-04	5.192446e-04
2.000000e+00	4.000000e+00	5.949240e-03	8.220353e-05	8.220353e-05
4.000000e+00	6.000000e+00	3.498364e-03	6.303194e-05	6.303194e-05
6.000000e+00	8.000000e+00	2.693381e-03	5.533263e-05	5.533263e-05
8.000000e+00	1.000000e+01	3.006617e-03	5.942943e-05	5.942943e-05
1.000000e+01	1.200000e+01	3.329733e-02	1.958606e-04	1.958606e-04
1.200000e+01	1.400000e+01	2.776013e-02	1.787049e-04	1.787049e-04
1.400000e+01	1.600000e+01	2.347362e-02	1.643841e-04	1.643841e-04
1.600000e+01	1.800000e+01	2.012121e-02	1.521593e-04	1.521593e-04
1.800000e+01	2.000000e+01	1.681707e-02	1.393292e-04	1.393292e-04
2.000000e+01	2.250000e+01	1.402669e-02	1.138620e-04	1.138620e-04
2.250000e+01	2.500000e+01	1.158906e-02	1.035078e-04	1.035078e-04
2.500000e+01	2.750000e+01	9.557404e-03	9.412783e-05	9.412783e-05
2.750000e+01	3.000000e+01	8.082612e-03	8.625686e-05	8.625686e-05
3.000000e+01	3.300000e+01	6.766200e-03	7.215687e-05	7.215687e-05
3.300000e+01	3.600000e+01	5.550677e-03	6.519886e-05	6.519886e-05
3.600000e+01	3.900000e+01	4.665983e-03	5.987787e-05	5.987787e-05
3.900000e+01	4.200000e+01	4.055230e-03	5.578009e-05	5.578009e-05
4.200000e+01	4.500000e+01	3.353910e-03	5.080254e-05	5.080254e-05
4.500000e+01	4.800000e+01	2.898089e-03	4.705272e-05	4.705272e-05
4.800000e+01	5.100000e+01	2.505140e-03	4.371366e-05	4.371366e-05
5.100000e+01	5.400000e+01	2.115186e-03	4.016729e-05	4.016729e-05
5.400000e+01	5.700000e+01	1.800827e-03	3.709287e-05	3.709287e-05
5.700000e+01	6.100000e+01	1.521833e-03	2.966696e-05	2.966696e-05
6.100000e+01	6.500000e+01	1.327604e-03	2.758647e-05	2.758647e-05
6.500000e+01	7.000000e+01	1.070167e-03	2.212394e-05	2.212394e-05
7.000000e+01	7.500000e+01	8.752646e-04	1.994762e-05	1.994762e-05
7.500000e+01	8.000000e+01	7.162890e-04	1.805854e-05	1.805854e-05
8.000000e+01	8.500000e+01	5.433916e-04	1.572435e-05	1.572435e-05
8.500000e+01	9.500000e+01	4.082173e-04	9.652694e-06	9.652694e-06
9.500000e+01	1.050000e+02	2.907819e-04	8.111531e-06	8.111531e-06
1.050000e+02	1.250000e+02	1.716624e-04	4.410121e-06	4.410121e-06
1.250000e+02	1.500000e+02	9.296040e-05	2.895112e-06	2.895112e-06
1.500000e+02	1.750000e+02	4.751308e-05	2.065786e-06	2.065786e-06
1.750000e+02	2.000000e+02	2.362182e-05	1.456583e-06	1.456583e-06
2.000000e+02	2.500000e+02	1.257435e-05	7.514612e-07	7.514612e-07
2.500000e+02	3.000000e+02	6.421900e-06	5.370263e-07	5.370263e-07
3.000000e+02	3.500000e+02	2.290328e-06	3.207101e-07	3.207101e-07
3.500000e+02	4.000000e+02	8.083512e-07	1.905302e-07	1.905302e-07
4.000000e+02	4.700000e+02	4.490840e-07	1.200227e-07	1.200227e-07
4.700000e+02	5.500000e+02	3.087453e-07	9.309019e-08	9.309019e-08
5.500000e+02	6.500000e+02	8.981680e-08	4.490840e-08	4.490840e-08
6.500000e+02	9.000000e+02	2.694504e-08	1.555672e-08	1.555672e-08
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/cascade2/YODA_files/hdamp1_pTmin100.yoda/ATLAS_2015_I1408516/d27-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/cascade2/YODA_files/hdamp1_pTmin100.yoda/ATLAS_2015_I1408516/d27-x01-y01
ScaledBy=2.18662845112857868e-06
Title=POWHEG cascade (hdamp1 pT10)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	4.449016e-02	2.229696e-04	2.229696e-04
2.000000e+00	4.000000e+00	6.547380e-02	2.709314e-04	2.709314e-04
4.000000e+00	6.000000e+00	5.650855e-02	2.519762e-04	2.519762e-04
6.000000e+00	8.000000e+00	4.661692e-02	2.294740e-04	2.294740e-04
8.000000e+00	1.000000e+01	3.875887e-02	2.091670e-04	2.091670e-04
1.000000e+01	1.200000e+01	2.957838e-02	1.831492e-04	1.831492e-04
1.200000e+01	1.400000e+01	2.491768e-02	1.682892e-04	1.682892e-04
1.400000e+01	1.600000e+01	2.228835e-02	1.590623e-04	1.590623e-04
1.600000e+01	1.800000e+01	1.951922e-02	1.490350e-04	1.490350e-04
1.800000e+01	2.000000e+01	1.697642e-02	1.389220e-04	1.389220e-04
2.000000e+01	2.250000e+01	1.429916e-02	1.142171e-04	1.142171e-04
2.250000e+01	2.500000e+01	1.194629e-02	1.046394e-04	1.046394e-04
2.500000e+01	2.750000e+01	1.012683e-02	9.615789e-05	9.615789e-05
2.750000e+01	3.000000e+01	8.550560e-03	8.844280e-05	8.844280e-05
3.000000e+01	3.300000e+01	7.247503e-03	7.434894e-05	7.434894e-05
3.300000e+01	3.600000e+01	5.929507e-03	6.708529e-05	6.708529e-05
3.600000e+01	3.900000e+01	5.097437e-03	6.232997e-05	6.232997e-05
3.900000e+01	4.200000e+01	4.291257e-03	5.719488e-05	5.719488e-05
4.200000e+01	4.500000e+01	3.775003e-03	5.359031e-05	5.359031e-05
4.500000e+01	4.800000e+01	3.057575e-03	4.810351e-05	4.810351e-05
4.800000e+01	5.100000e+01	2.834950e-03	4.625413e-05	4.625413e-05
5.100000e+01	5.400000e+01	2.284675e-03	4.153063e-05	4.153063e-05
5.400000e+01	5.700000e+01	2.019153e-03	3.920665e-05	3.920665e-05
5.700000e+01	6.100000e+01	1.709069e-03	3.106884e-05	3.106884e-05
6.100000e+01	6.500000e+01	1.443362e-03	2.860940e-05	2.860940e-05
6.500000e+01	7.000000e+01	1.213267e-03	2.344853e-05	2.344853e-05
7.000000e+01	7.500000e+01	9.674184e-04	2.092788e-05	2.092788e-05
7.500000e+01	8.000000e+01	7.939044e-04	1.897862e-05	1.897862e-05
8.000000e+01	8.500000e+01	6.039708e-04	1.651516e-05	1.651516e-05
8.500000e+01	9.500000e+01	4.577487e-04	1.012681e-05	1.012681e-05
9.500000e+01	1.050000e+02	3.306086e-04	8.599295e-06	8.599295e-06
1.050000e+02	1.250000e+02	1.918195e-04	4.629107e-06	4.629107e-06
1.250000e+02	1.500000e+02	1.001145e-04	2.991417e-06	2.991417e-06
1.500000e+02	1.750000e+02	5.067852e-05	2.120830e-06	2.120830e-06
1.750000e+02	2.000000e+02	2.485112e-05	1.485138e-06	1.485138e-06
2.000000e+02	2.500000e+02	1.340185e-05	7.711900e-07	7.711900e-07
2.500000e+02	3.000000e+02	6.124024e-06	5.213116e-07	5.213116e-07
3.000000e+02	3.500000e+02	2.485112e-06	3.320870e-07	3.320870e-07
3.500000e+02	4.000000e+02	7.100318e-07	1.775080e-07	1.775080e-07
4.000000e+02	4.700000e+02	4.754677e-07	1.227652e-07	1.227652e-07
4.700000e+02	5.500000e+02	3.050919e-07	9.198865e-08	9.198865e-08
5.500000e+02	6.500000e+02	8.875398e-08	4.437699e-08	4.437699e-08
6.500000e+02	9.000000e+02	2.662620e-08	1.537264e-08	1.537264e-08
# END HISTO1D

