# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $116\,\text{GeV}\leq m_{\ell\ell} < 150\,\text{GeV}$, $0.8\leq |y_{\ell\ell}| < 1.6$
RatioPlotReference=/ATLAS_2015_I1408516/d12-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$\phi^\ast_\eta$
YLabel=$1/\sigma$ $\text{d}\sigma/\text{d}\phi^\ast_\eta$
XMin=0.001
DrawOnly=/ATLAS_2015_I1408516/d12-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSon.yoda/ATLAS_2015_I1408516/d12-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/cascade2/YODA_files/hdamp1_pTmin100.yoda/ATLAS_2015_I1408516/d12-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d12-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSon.yoda/ATLAS_2015_I1408516/d12-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/cascade2/YODA_files/hdamp1_pTmin100.yoda/ATLAS_2015_I1408516/d12-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d12-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d12-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	1.097200e+01	4.375064e-01	4.375064e-01
4.000000e-03	8.000000e-03	1.198900e+01	3.941811e-01	3.941811e-01
8.000000e-03	1.200000e-02	1.062800e+01	3.698483e-01	3.698483e-01
1.200000e-02	1.600000e-02	1.071800e+01	3.594926e-01	3.594926e-01
1.600000e-02	2.000000e-02	9.871000e+00	3.456260e-01	3.456260e-01
2.000000e-02	2.400000e-02	9.754000e+00	3.504660e-01	3.504660e-01
2.400000e-02	2.900000e-02	8.577000e+00	2.857570e-01	2.857570e-01
2.900000e-02	3.400000e-02	7.516000e+00	3.044676e-01	3.044676e-01
3.400000e-02	3.900000e-02	7.643000e+00	2.705449e-01	2.705449e-01
3.900000e-02	4.500000e-02	6.365000e+00	2.268299e-01	2.268299e-01
4.500000e-02	5.100000e-02	6.080000e+00	2.185420e-01	2.185420e-01
5.100000e-02	5.700000e-02	5.577000e+00	2.057452e-01	2.057452e-01
5.700000e-02	6.400000e-02	4.794000e+00	1.822351e-01	1.822351e-01
6.400000e-02	7.200000e-02	4.645000e+00	1.787571e-01	1.787571e-01
7.200000e-02	8.100000e-02	4.082000e+00	1.486431e-01	1.486431e-01
8.100000e-02	9.100000e-02	3.474000e+00	1.294735e-01	1.294735e-01
9.100000e-02	1.020000e-01	3.205000e+00	1.210710e-01	1.210710e-01
1.020000e-01	1.140000e-01	2.435000e+00	1.017469e-01	1.017469e-01
1.140000e-01	1.280000e-01	2.051000e+00	8.528314e-02	8.528314e-02
1.280000e-01	1.450000e-01	1.828000e+00	8.088771e-02	8.088771e-02
1.450000e-01	1.650000e-01	1.608000e+00	6.791778e-02	6.791778e-02
1.650000e-01	1.890000e-01	1.211000e+00	5.259143e-02	5.259143e-02
1.890000e-01	2.190000e-01	9.400000e-01	4.274675e-02	4.274675e-02
2.190000e-01	2.580000e-01	7.740000e-01	3.470076e-02	3.470076e-02
2.580000e-01	3.120000e-01	5.470000e-01	2.742102e-02	2.742102e-02
3.120000e-01	3.910000e-01	3.550000e-01	1.845317e-02	1.845317e-02
3.910000e-01	5.240000e-01	2.120000e-01	1.117182e-02	1.117182e-02
5.240000e-01	6.950000e-01	1.010000e-01	7.258661e-03	7.258661e-03
6.950000e-01	9.180000e-01	5.040000e-02	4.329416e-03	4.329416e-03
9.180000e-01	1.153000e+00	2.540000e-02	2.901165e-03	2.901165e-03
1.153000e+00	1.496000e+00	1.140000e-02	3.444611e-03	3.444611e-03
1.496000e+00	1.947000e+00	5.230000e-03	9.077478e-04	9.077478e-04
1.947000e+00	2.522000e+00	2.360000e-03	5.490235e-04	5.490235e-04
2.522000e+00	3.277000e+00	1.470000e-03	3.806392e-04	3.806392e-04
3.277000e+00	5.000000e+00	6.540000e-04	1.789906e-04	1.789906e-04
5.000000e+00	1.000000e+01	2.280000e-04	5.534533e-05	5.534533e-05
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSon.yoda/ATLAS_2015_I1408516/d12-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSon.yoda/ATLAS_2015_I1408516/d12-x01-y01
ScaledBy=2.12810086108492231e-06
Title=POWHEG PS (hdamp1 pT10)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	2.165354e+01	3.769398e+00	3.769398e+00
4.000000e-03	8.000000e-03	9.842520e+00	2.541327e+00	2.541327e+00
8.000000e-03	1.200000e-02	9.842520e+00	2.541327e+00	2.541327e+00
1.200000e-02	1.600000e-02	1.181102e+01	2.783884e+00	2.783884e+00
1.600000e-02	2.000000e-02	1.049869e+01	2.624671e+00	2.624671e+00
2.000000e-02	2.400000e-02	8.530183e+00	2.365847e+00	2.365847e+00
2.400000e-02	2.900000e-02	7.349082e+00	1.964125e+00	1.964125e+00
2.900000e-02	3.400000e-02	6.824146e+00	1.892678e+00	1.892678e+00
3.400000e-02	3.900000e-02	7.874016e+00	2.033062e+00	2.033062e+00
3.900000e-02	4.500000e-02	7.436570e+00	1.803633e+00	1.803633e+00
4.500000e-02	5.100000e-02	4.811898e+00	1.450842e+00	1.450842e+00
5.100000e-02	5.700000e-02	3.937008e+00	1.312336e+00	1.312336e+00
5.700000e-02	6.400000e-02	5.249344e+00	1.402946e+00	1.402946e+00
6.400000e-02	7.200000e-02	7.217848e+00	1.538851e+00	1.538851e+00
7.200000e-02	8.100000e-02	2.916302e+00	9.222157e-01	9.222157e-01
8.100000e-02	9.100000e-02	3.149606e+00	9.092130e-01	9.092130e-01
9.100000e-02	1.020000e-01	2.386065e+00	7.545401e-01	7.545401e-01
1.020000e-01	1.140000e-01	2.624672e+00	7.576775e-01	7.576775e-01
1.140000e-01	1.280000e-01	2.249719e+00	6.494379e-01	6.494379e-01
1.280000e-01	1.450000e-01	2.161495e+00	6.175697e-01	6.175697e-01
1.450000e-01	1.650000e-01	2.099737e+00	5.249343e-01	5.249343e-01
1.650000e-01	1.890000e-01	1.093613e+00	3.458309e-01	3.458309e-01
1.890000e-01	2.190000e-01	1.049869e+00	3.030710e-01	3.030710e-01
2.190000e-01	2.580000e-01	4.037956e-01	1.648489e-01	1.648489e-01
2.580000e-01	3.120000e-01	6.804706e-01	1.818634e-01	1.818634e-01
3.120000e-01	3.910000e-01	2.325658e-01	8.790164e-02	8.790164e-02
3.910000e-01	5.240000e-01	9.867188e-02	4.412740e-02	4.412740e-02
5.240000e-01	6.950000e-01	6.139585e-02	3.069792e-02	3.069792e-02
6.950000e-01	9.180000e-01	2.353966e-02	1.664505e-02	1.664505e-02
9.180000e-01	1.153000e+00	3.350645e-02	2.497423e-02	2.497423e-02
1.153000e+00	1.496000e+00	3.060843e-02	1.530421e-02	1.530421e-02
1.496000e+00	1.947000e+00	5.819672e-03	5.819672e-03	5.819672e-03
1.947000e+00	2.522000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.522000e+00	3.277000e+00	3.476387e-03	3.476387e-03	3.476387e-03
3.277000e+00	5.000000e+00	1.523315e-03	1.523315e-03	1.523315e-03
5.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/cascade2/YODA_files/hdamp1_pTmin100.yoda/ATLAS_2015_I1408516/d12-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/cascade2/YODA_files/hdamp1_pTmin100.yoda/ATLAS_2015_I1408516/d12-x01-y01
ScaledBy=2.32424164356890206e-03
Title=POWHEG cascade (hdamp1 pT10)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	1.533019e+01	3.006497e+00	3.006497e+00
4.000000e-03	8.000000e-03	1.061321e+01	2.501557e+00	2.501557e+00
8.000000e-03	1.200000e-02	1.002358e+01	2.431076e+00	2.431076e+00
1.200000e-02	1.600000e-02	1.415094e+01	2.888550e+00	2.888550e+00
