# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $66\,\text{GeV}\leq m_{\ell\ell} < 116\,\text{GeV}$, $0.8\leq |y_{\ell\ell}| < 1.2$
RatioPlotReference=/ATLAS_2015_I1408516/d07-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$\phi^\ast_\eta$
YLabel=$1/\sigma$ $\text{d}\sigma/\text{d}\phi^\ast_\eta$
XMin=0.001
DrawOnly=/ATLAS_2015_I1408516/d07-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-pTmin49-0.yoda/ATLAS_2015_I1408516/d07-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d07-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d07-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-pTmin49-0.yoda/ATLAS_2015_I1408516/d07-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d07-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d07-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d07-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	9.387000e+00	4.301664e-02	4.301664e-02
4.000000e-03	8.000000e-03	9.268000e+00	3.932079e-02	3.932079e-02
8.000000e-03	1.200000e-02	9.252000e+00	3.925291e-02	3.925291e-02
1.200000e-02	1.600000e-02	8.913000e+00	4.881851e-02	4.881851e-02
1.600000e-02	2.000000e-02	8.699000e+00	4.764639e-02	4.764639e-02
2.000000e-02	2.400000e-02	8.264000e+00	4.294100e-02	4.294100e-02
2.400000e-02	2.900000e-02	7.876000e+00	3.341504e-02	3.341504e-02
2.900000e-02	3.400000e-02	7.364000e+00	3.374609e-02	3.374609e-02
3.400000e-02	3.900000e-02	6.923000e+00	3.791883e-02	3.791883e-02
3.900000e-02	4.500000e-02	6.430000e+00	2.728018e-02	2.728018e-02
4.500000e-02	5.100000e-02	5.921000e+00	3.076642e-02	3.076642e-02
5.100000e-02	5.700000e-02	5.410000e+00	2.811118e-02	2.811118e-02
5.700000e-02	6.400000e-02	5.012000e+00	2.604312e-02	2.604312e-02
6.400000e-02	7.200000e-02	4.492000e+00	2.334112e-02	2.334112e-02
7.200000e-02	8.100000e-02	4.019000e+00	2.088334e-02	2.088334e-02
8.100000e-02	9.100000e-02	3.589000e+00	1.864899e-02	1.864899e-02
9.100000e-02	1.020000e-01	3.141000e+00	1.632111e-02	1.632111e-02
1.020000e-01	1.140000e-01	2.755000e+00	1.431540e-02	1.431540e-02
1.140000e-01	1.280000e-01	2.394000e+00	1.243959e-02	1.243959e-02
1.280000e-01	1.450000e-01	2.029000e+00	1.054299e-02	1.054299e-02
1.450000e-01	1.650000e-01	1.695000e+00	8.807478e-03	8.807478e-03
1.650000e-01	1.890000e-01	1.378000e+00	7.160298e-03	7.160298e-03
1.890000e-01	2.190000e-01	1.106000e+00	5.746945e-03	5.746945e-03
2.190000e-01	2.580000e-01	8.450000e-01	4.390749e-03	4.390749e-03
2.580000e-01	3.120000e-01	6.140000e-01	3.363017e-03	3.363017e-03
3.120000e-01	3.910000e-01	4.090000e-01	2.419677e-03	2.419677e-03
3.910000e-01	5.240000e-01	2.380000e-01	1.408027e-03	1.408027e-03
5.240000e-01	6.950000e-01	1.220000e-01	8.965132e-04	8.965132e-04
6.950000e-01	9.180000e-01	6.240000e-02	5.107660e-04	5.107660e-04
9.180000e-01	1.153000e+00	3.210000e-02	3.486953e-04	3.486953e-04
1.153000e+00	1.496000e+00	1.650000e-02	1.993703e-04	1.993703e-04
1.496000e+00	1.947000e+00	8.010000e-03	1.209483e-04	1.209483e-04
1.947000e+00	2.522000e+00	4.120000e-03	7.381587e-05	7.381587e-05
2.522000e+00	3.277000e+00	2.100000e-03	4.653289e-05	4.653289e-05
3.277000e+00	5.000000e+00	9.420000e-04	2.168647e-05	2.168647e-05
5.000000e+00	1.000000e+01	2.820000e-04	6.849756e-06	6.849756e-06
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-pTmin49-0.yoda/ATLAS_2015_I1408516/d07-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-pTmin49-0.yoda/ATLAS_2015_I1408516/d07-x01-y01
ScaledBy=8.47618499505216822e-09
Title=POWHEG (hdamp1 pT49)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	8.822145e+01	4.826995e-01	4.826995e-01
4.000000e-03	8.000000e-03	4.717375e+00	1.118324e-01	1.118324e-01
8.000000e-03	1.200000e-02	3.499483e+00	9.627493e-02	9.627493e-02
1.200000e-02	1.600000e-02	2.989850e+00	8.931916e-02	8.931916e-02
1.600000e-02	2.000000e-02	2.859175e+00	8.769856e-02	8.769856e-02
2.000000e-02	2.400000e-02	2.754633e+00	8.572933e-02	8.572933e-02
2.400000e-02	2.900000e-02	2.684592e+00	7.573213e-02	7.573213e-02
2.900000e-02	3.400000e-02	2.674138e+00	7.541398e-02	7.541398e-02
3.400000e-02	3.900000e-02	2.563326e+00	7.409826e-02	7.409826e-02
3.900000e-02	4.500000e-02	2.522903e+00	6.707430e-02	6.707430e-02
4.500000e-02	5.100000e-02	2.777283e+00	7.030062e-02	7.030062e-02
5.100000e-02	5.700000e-02	2.698878e+00	6.927840e-02	6.927840e-02
5.700000e-02	6.400000e-02	2.821091e+00	6.569400e-02	6.569400e-02
6.400000e-02	7.200000e-02	3.038199e+00	6.373684e-02	6.373684e-02
7.200000e-02	8.100000e-02	3.729761e+00	6.665559e-02	6.665559e-02
8.100000e-02	9.100000e-02	3.574229e+00	6.180261e-02	6.180261e-02
9.100000e-02	1.020000e-01	3.138106e+00	5.520305e-02	5.520305e-02
1.020000e-01	1.140000e-01	2.709333e+00	4.903369e-02	4.903369e-02
1.140000e-01	1.280000e-01	2.362608e+00	4.251691e-02	4.251691e-02
1.280000e-01	1.450000e-01	1.990568e+00	3.542729e-02	3.542729e-02
1.450000e-01	1.650000e-01	1.554512e+00	2.902755e-02	2.902755e-02
1.650000e-01	1.890000e-01	1.299783e+00	2.404014e-02	2.404014e-02
1.890000e-01	2.190000e-01	1.031812e+00	1.918470e-02	1.918470e-02
2.190000e-01	2.580000e-01	7.516172e-01	1.433513e-02	1.433513e-02
2.580000e-01	3.120000e-01	5.252176e-01	1.021283e-02	1.021283e-02
3.120000e-01	3.910000e-01	3.349256e-01	6.730610e-03	6.730610e-03
3.910000e-01	5.240000e-01	1.843995e-01	3.852283e-03	3.852283e-03
5.240000e-01	6.950000e-01	9.200760e-02	2.392075e-03	2.392075e-03
6.950000e-01	9.180000e-01	4.308181e-02	1.433456e-03	1.433456e-03
9.180000e-01	1.153000e+00	2.202017e-02	9.957131e-04	9.957131e-04
1.153000e+00	1.496000e+00	1.130741e-02	5.917794e-04	5.917794e-04
1.496000e+00	1.947000e+00	5.354497e-03	3.568460e-04	3.568460e-04
1.947000e+00	2.522000e+00	2.908944e-03	2.328291e-04	2.328291e-04
2.522000e+00	3.277000e+00	1.564641e-03	1.471890e-04	1.471890e-04
3.277000e+00	5.000000e+00	6.856088e-04	6.562826e-05	6.562826e-05
5.000000e+00	1.000000e+01	2.007172e-04	2.048560e-05	2.048560e-05
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d07-x01-y01
LineColor=blue
LineStyle=solid
