# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $66\,\text{GeV}\leq m_{\ell\ell} < 116\,\text{GeV}$, $1.2 \leq |y_{\ell\ell}| < 1.6$
RatioPlotReference=/ATLAS_2015_I1408516/d20-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$p_\text{T}^{\ell\ell}$ [GeV]
YLabel=$1/\sigma$ $\text{d}\sigma/\text{d} p_\text{T}^{\ell\ell}$
XMin=0.9
DrawOnly=/ATLAS_2015_I1408516/d20-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-pTmin49-0.yoda/ATLAS_2015_I1408516/d20-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d20-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d20-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-pTmin49-0.yoda/ATLAS_2015_I1408516/d20-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d20-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d20-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d20-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	2.584000e-02	3.329251e-04	3.329251e-04
2.000000e+00	4.000000e+00	5.405000e-02	4.953764e-04	4.953764e-04
4.000000e+00	6.000000e+00	5.436000e-02	3.646580e-04	3.646580e-04
6.000000e+00	8.000000e+00	4.804000e-02	4.019315e-04	4.019315e-04
8.000000e+00	1.000000e+01	4.096000e-02	3.009933e-04	3.009933e-04
1.000000e+01	1.300000e+01	3.316000e-02	1.785721e-04	1.785721e-04
1.300000e+01	1.600000e+01	2.573000e-02	1.819386e-04	1.819386e-04
1.600000e+01	2.000000e+01	1.956000e-02	1.312125e-04	1.312125e-04
2.000000e+01	2.500000e+01	1.390000e-02	9.828784e-05	9.828784e-05
2.500000e+01	3.000000e+01	1.000000e-02	9.000000e-05	9.000000e-05
3.000000e+01	3.700000e+01	6.933000e-03	6.239700e-05	6.239700e-05
3.700000e+01	4.500000e+01	4.611000e-03	4.814025e-05	4.814025e-05
4.500000e+01	5.500000e+01	2.995000e-03	3.764657e-05	3.764657e-05
5.500000e+01	6.500000e+01	1.940000e-03	2.864376e-05	2.864376e-05
6.500000e+01	7.500000e+01	1.290000e-03	2.162434e-05	2.162434e-05
7.500000e+01	8.500000e+01	8.719000e-04	1.547469e-05	1.547469e-05
8.500000e+01	1.050000e+02	4.966000e-04	7.788867e-06	7.788867e-06
1.050000e+02	1.500000e+02	1.933000e-04	3.240298e-06	3.240298e-06
1.500000e+02	2.000000e+02	5.229000e-05	1.420518e-06	1.420518e-06
2.000000e+02	9.000000e+02	2.078000e-06	9.100596e-08	9.100596e-08
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-pTmin49-0.yoda/ATLAS_2015_I1408516/d20-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-pTmin49-0.yoda/ATLAS_2015_I1408516/d20-x01-y01
ScaledBy=1.02450869722627958e-08
Title=POWHEG (hdamp1 pT49)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	1.737974e-01	1.052086e-03	1.052086e-03
2.000000e+00	4.000000e+00	4.807874e-03	1.754267e-04	1.754267e-04
4.000000e+00	6.000000e+00	3.386361e-03	1.478968e-04	1.478968e-04
6.000000e+00	8.000000e+00	2.527767e-02	4.036995e-04	4.036995e-04
8.000000e+00	1.000000e+01	4.230424e-02	5.214418e-04	5.214418e-04
1.000000e+01	1.300000e+01	3.279800e-02	3.751422e-04	3.751422e-04
1.300000e+01	1.600000e+01	2.488386e-02	3.273374e-04	3.273374e-04
1.600000e+01	2.000000e+01	1.875450e-02	2.464969e-04	2.464969e-04
2.000000e+01	2.500000e+01	1.292630e-02	1.831258e-04	1.831258e-04
2.500000e+01	3.000000e+01	8.827282e-03	1.513119e-04	1.513119e-04
3.000000e+01	3.700000e+01	6.036243e-03	1.054399e-04	1.054399e-04
3.700000e+01	4.500000e+01	3.901265e-03	7.935114e-05	7.935114e-05
4.500000e+01	5.500000e+01	2.419732e-03	5.581193e-05	5.581193e-05
5.500000e+01	6.500000e+01	1.468266e-03	4.358851e-05	4.358851e-05
6.500000e+01	7.500000e+01	9.198772e-04	3.427973e-05	3.427973e-05
7.500000e+01	8.500000e+01	6.444195e-04	2.886913e-05	2.886913e-05
8.500000e+01	1.050000e+02	3.500082e-04	1.492401e-05	1.492401e-05
1.050000e+02	1.500000e+02	1.274799e-04	5.982929e-06	5.982929e-06
1.500000e+02	2.000000e+02	4.144502e-05	3.236312e-06	3.236312e-06
2.000000e+02	9.000000e+02	1.750944e-06	1.777814e-07	1.777814e-07
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d20-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d20-x01-y01
ScaledBy=1.02351287342756597e-08
Title=POWHEG (hdamp1 pT100)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	2.353190e-01	1.225331e-03	1.225331e-03
2.000000e+00	4.000000e+00	6.400060e-03	2.021715e-04	2.021715e-04
4.000000e+00	6.000000e+00	3.610291e-03	1.517435e-04	1.517435e-04
6.000000e+00	8.000000e+00	2.587796e-03	1.287339e-04	1.287339e-04
8.000000e+00	1.000000e+01	3.256836e-03	1.474832e-04	1.474832e-04
1.000000e+01	1.300000e+01	3.213074e-02	3.719084e-04	3.719084e-04
1.300000e+01	1.600000e+01	2.476289e-02	3.265587e-04	3.265587e-04
1.600000e+01	2.000000e+01	1.891300e-02	2.469842e-04	2.469842e-04
2.000000e+01	2.500000e+01	1.258805e-02	1.805454e-04	1.805454e-04
2.500000e+01	3.000000e+01	8.869196e-03	1.511226e-04	1.511226e-04
3.000000e+01	3.700000e+01	6.079066e-03	1.055379e-04	1.055379e-04
3.700000e+01	4.500000e+01	3.963745e-03	7.996200e-05	7.996200e-05
4.500000e+01	5.500000e+01	2.432528e-03	5.595739e-05	5.595739e-05
5.500000e+01	6.500000e+01	1.483249e-03	4.363752e-05	4.363752e-05
6.500000e+01	7.500000e+01	8.684895e-04	3.330279e-05	3.330279e-05
7.500000e+01	8.500000e+01	6.639905e-04	2.895136e-05	2.895136e-05
8.500000e+01	1.050000e+02	3.408316e-04	1.472128e-05	1.472128e-05
1.050000e+02	1.500000e+02	1.239898e-04	5.910920e-06	5.910920e-06
1.500000e+02	2.000000e+02	3.383070e-05	2.922527e-06	2.922527e-06
2.000000e+02	9.000000e+02	1.713174e-06	1.757681e-07	1.757681e-07
# END HISTO1D

