# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $46\,\text{GeV}\leq m_{\ell\ell} < 66\,\text{GeV}$, $|y_{\ell\ell}| < 2.4$
RatioPlotReference=/ATLAS_2015_I1408516/d38-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$p_\text{T}^{\ell\ell}$ [GeV]
YLabel=$\text{d}\sigma/\text{d} p_\text{T}^{\ell\ell}$ [pb GeV$^{-1}$]
XMin=0.9
DrawOnly=/ATLAS_2015_I1408516/d38-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-pTmin49-0.yoda/ATLAS_2015_I1408516/d38-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d38-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d38-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-pTmin49-0.yoda/ATLAS_2015_I1408516/d38-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d38-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d38-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d38-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	6.376000e-01	5.090029e-02	5.090029e-02
2.000000e+00	4.000000e+00	1.216000e+00	7.099816e-02	7.099816e-02
4.000000e+00	6.000000e+00	1.095000e+00	6.206825e-02	6.206825e-02
6.000000e+00	8.000000e+00	8.887000e-01	4.979100e-02	4.979100e-02
8.000000e+00	1.000000e+01	6.757000e-01	3.765171e-02	3.765171e-02
1.000000e+01	1.300000e+01	5.185000e-01	2.775792e-02	2.775792e-02
1.300000e+01	1.600000e+01	3.756000e-01	2.035877e-02	2.035877e-02
1.600000e+01	2.000000e+01	2.796000e-01	1.492917e-02	1.492917e-02
2.000000e+01	2.500000e+01	2.057000e-01	1.057906e-02	1.057906e-02
2.500000e+01	3.000000e+01	1.297000e-01	6.908275e-03	6.908275e-03
3.000000e+01	3.700000e+01	7.556000e-02	4.071836e-03	4.071836e-03
3.700000e+01	4.500000e+01	4.588000e-02	2.541686e-03	2.541686e-03
4.500000e+01	5.500000e+01	3.141000e-02	1.643557e-03	1.643557e-03
5.500000e+01	6.500000e+01	1.989000e-02	1.050222e-03	1.050222e-03
6.500000e+01	7.500000e+01	1.384000e-02	8.012870e-04	8.012870e-04
7.500000e+01	8.500000e+01	1.003000e-02	6.463711e-04	6.463711e-04
8.500000e+01	1.050000e+02	5.797000e-03	3.242695e-04	3.242695e-04
1.050000e+02	1.500000e+02	2.099000e-03	1.254844e-04	1.254844e-04
1.500000e+02	2.000000e+02	5.754000e-04	4.343031e-05	4.343031e-05
2.000000e+02	9.000000e+02	2.098000e-05	2.087589e-06	2.087589e-06
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-pTmin49-0.yoda/ATLAS_2015_I1408516/d38-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-pTmin49-0.yoda/ATLAS_2015_I1408516/d38-x01-y01
ScaledBy=9.99999999994851900e-07
Title=POWHEG (hdamp1 pT49)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	1.114939e+00	2.646657e-02	2.646657e-02
2.000000e+00	4.000000e+00	4.810026e-02	5.515664e-03	5.515664e-03
4.000000e+00	6.000000e+00	4.871693e-02	5.685416e-03	5.685416e-03
6.000000e+00	8.000000e+00	1.887010e-01	1.089256e-02	1.089256e-02
8.000000e+00	1.000000e+01	2.528347e-01	1.278754e-02	1.278754e-02
1.000000e+01	1.300000e+01	2.166567e-01	9.597537e-03	9.597537e-03
1.300000e+01	1.600000e+01	1.718454e-01	8.643163e-03	8.643163e-03
1.600000e+01	2.000000e+01	1.443008e-01	6.839201e-03	6.839201e-03
2.000000e+01	2.500000e+01	1.265407e-01	5.684078e-03	5.684078e-03
2.500000e+01	3.000000e+01	7.622042e-02	4.433167e-03	4.433167e-03
3.000000e+01	3.700000e+01	3.664781e-02	2.565386e-03	2.565386e-03
3.700000e+01	4.500000e+01	1.587925e-02	1.579747e-03	1.579747e-03
4.500000e+01	5.500000e+01	8.633380e-03	1.031886e-03	1.031886e-03
5.500000e+01	6.500000e+01	7.153372e-03	9.392838e-04	9.392838e-04
6.500000e+01	7.500000e+01	3.576686e-03	6.641739e-04	6.641739e-04
7.500000e+01	8.500000e+01	2.466680e-03	5.784878e-04	5.784878e-04
8.500000e+01	1.050000e+02	1.233340e-03	2.757832e-04	2.757832e-04
1.050000e+02	1.500000e+02	6.851889e-04	1.370378e-04	1.370378e-04
1.500000e+02	2.000000e+02	1.233340e-04	5.515664e-05	5.515664e-05
2.000000e+02	9.000000e+02	1.761914e-06	1.761915e-06	1.761915e-06
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d38-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d38-x01-y01
ScaledBy=9.99999999994852112e-07
Title=POWHEG (hdamp1 pT100)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	1.465825e+00	3.044252e-02	3.044252e-02
2.000000e+00	4.000000e+00	6.660035e-02	6.408623e-03	6.408623e-03
4.000000e+00	6.000000e+00	5.735030e-02	6.010555e-03	6.010555e-03
6.000000e+00	8.000000e+00	5.673365e-02	6.104722e-03	6.104722e-03
8.000000e+00	1.000000e+01	5.365030e-02	5.882657e-03	5.882657e-03
1.000000e+01	1.300000e+01	2.174790e-01	9.579911e-03	9.579911e-03
1.300000e+01	1.600000e+01	1.644453e-01	8.425316e-03	8.425316e-03
1.600000e+01	2.000000e+01	1.563258e-01	7.091705e-03	7.091705e-03
2.000000e+01	2.500000e+01	1.487408e-01	6.117167e-03	6.117167e-03
2.500000e+01	3.000000e+01	5.944698e-02	3.892356e-03	3.892356e-03
3.000000e+01	3.700000e+01	3.224303e-02	2.460380e-03	2.460380e-03
3.700000e+01	4.500000e+01	1.788343e-02	1.674688e-03	1.674688e-03
4.500000e+01	5.500000e+01	9.743386e-03	1.110006e-03	1.110006e-03
5.500000e+01	6.500000e+01	6.290034e-03	8.807810e-04	8.807810e-04
6.500000e+01	7.500000e+01	2.836682e-03	6.166700e-04	6.166700e-04
7.500000e+01	8.500000e+01	2.096678e-03	5.085191e-04	5.085191e-04
8.500000e+01	1.050000e+02	1.295007e-03	2.825937e-04	2.825937e-04
1.050000e+02	1.500000e+02	5.755587e-04	1.255972e-04	1.255972e-04
1.500000e+02	2.000000e+02	9.866720e-05	4.933360e-05	4.933360e-05
2.000000e+02	9.000000e+02	8.809571e-06	3.939760e-06	3.939760e-06
# END HISTO1D

