# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $46\,\text{GeV}\leq m_{\ell\ell} < 66\,\text{GeV}$, $|y_{\ell\ell}| < 2.4$
RatioPlotReference=/ATLAS_2015_I1408516/d26-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$p_\text{T}^{\ell\ell}$ [GeV]
YLabel=$1/\sigma$ $\text{d}\sigma/\text{d} p_\text{T}^{\ell\ell}$
XMin=0.9
DrawOnly=/ATLAS_2015_I1408516/d26-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-pTmin49_PSon-0.yoda/ATLAS_2015_I1408516/d26-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSon.yoda/ATLAS_2015_I1408516/d26-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d26-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-pTmin49_PSon-0.yoda/ATLAS_2015_I1408516/d26-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSon.yoda/ATLAS_2015_I1408516/d26-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d26-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d26-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	3.886000e-02	1.851466e-03	1.851466e-03
2.000000e+00	4.000000e+00	7.415000e-02	1.271408e-03	1.271408e-03
4.000000e+00	6.000000e+00	6.674000e-02	1.046776e-03	1.046776e-03
6.000000e+00	8.000000e+00	5.417000e-02	8.161533e-04	8.161533e-04
8.000000e+00	1.000000e+01	4.119000e-02	7.310500e-04	7.310500e-04
1.000000e+01	1.300000e+01	3.160000e-02	5.766459e-04	5.766459e-04
1.300000e+01	1.600000e+01	2.289000e-02	4.685466e-04	4.685466e-04
1.600000e+01	2.000000e+01	1.705000e-02	3.248461e-04	3.248461e-04
2.000000e+01	2.500000e+01	1.254000e-02	2.218552e-04	2.218552e-04
2.500000e+01	3.000000e+01	7.907000e-03	1.766290e-04	1.766290e-04
3.000000e+01	3.700000e+01	4.606000e-03	1.168872e-04	1.168872e-04
3.700000e+01	4.500000e+01	2.797000e-03	8.580000e-05	8.580000e-05
4.500000e+01	5.500000e+01	1.915000e-03	6.264129e-05	6.264129e-05
5.500000e+01	6.500000e+01	1.213000e-03	5.018948e-05	5.018948e-05
6.500000e+01	7.500000e+01	8.436000e-04	4.249099e-05	4.249099e-05
7.500000e+01	8.500000e+01	6.112000e-04	3.547067e-05	3.547067e-05
8.500000e+01	1.050000e+02	3.534000e-04	1.829848e-05	1.829848e-05
1.050000e+02	1.500000e+02	1.279000e-04	7.283565e-06	7.283565e-06
1.500000e+02	2.000000e+02	3.507000e-05	2.559870e-06	2.559870e-06
2.000000e+02	9.000000e+02	1.279000e-06	1.263170e-07	1.263170e-07
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-pTmin49_PSon-0.yoda/ATLAS_2015_I1408516/d26-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-pTmin49_PSon-0.yoda/ATLAS_2015_I1408516/d26-x01-y01
ScaledBy=1.50791599046572670e-07
Title=POWHEG PS (hdamp1 pTsqmin49)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	4.454156e-02	2.052081e-03	2.052081e-03
2.000000e+00	4.000000e+00	5.132975e-02	2.208358e-03	2.208358e-03
4.000000e+00	6.000000e+00	4.928399e-02	2.164859e-03	2.164859e-03
6.000000e+00	8.000000e+00	4.742421e-02	2.120468e-03	2.120468e-03
8.000000e+00	1.000000e+01	4.082202e-02	1.961598e-03	1.961598e-03
1.000000e+01	1.300000e+01	3.043829e-02	1.398613e-03	1.398613e-03
1.300000e+01	1.600000e+01	2.578885e-02	1.291468e-03	1.291468e-03
1.600000e+01	2.000000e+01	2.231728e-02	1.031294e-03	1.031294e-03
