# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $46\,\text{GeV}\leq m_{\ell\ell} < 66\,\text{GeV}$, $0.8\leq |y_{\ell\ell}| < 1.6$
RatioPlotReference=/ATLAS_2015_I1408516/d03-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$\phi^\ast_\eta$
YLabel=$1/\sigma$ $\text{d}\sigma/\text{d}\phi^\ast_\eta$
XMin=0.001
DrawOnly=/ATLAS_2015_I1408516/d03-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-0.yoda/ATLAS_2015_I1408516/d03-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d03-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-0.yoda/ATLAS_2015_I1408516/d03-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	7.182000e+00	4.344368e-01	4.344368e-01
4.000000e-03	8.000000e-03	7.048000e+00	2.657760e-01	2.657760e-01
8.000000e-03	1.200000e-02	6.842000e+00	2.254748e-01	2.254748e-01
1.200000e-02	1.600000e-02	6.408000e+00	1.996789e-01	1.996789e-01
1.600000e-02	2.000000e-02	6.302000e+00	2.038188e-01	2.038188e-01
2.000000e-02	2.400000e-02	6.328000e+00	1.971860e-01	1.971860e-01
2.400000e-02	2.900000e-02	6.279000e+00	1.705763e-01	1.705763e-01
2.900000e-02	3.400000e-02	6.047000e+00	1.644962e-01	1.644962e-01
3.400000e-02	3.900000e-02	5.803000e+00	1.758223e-01	1.758223e-01
3.900000e-02	4.500000e-02	5.295000e+00	1.393903e-01	1.393903e-01
4.500000e-02	5.100000e-02	5.149000e+00	1.416677e-01	1.416677e-01
5.100000e-02	5.700000e-02	4.906000e+00	1.364891e-01	1.364891e-01
5.700000e-02	6.400000e-02	4.396000e+00	1.168046e-01	1.168046e-01
6.400000e-02	7.200000e-02	4.289000e+00	1.142839e-01	1.142839e-01
7.200000e-02	8.100000e-02	3.884000e+00	1.008345e-01	1.008345e-01
8.100000e-02	9.100000e-02	3.645000e+00	9.141613e-02	9.141613e-02
9.100000e-02	1.020000e-01	3.172000e+00	8.142840e-02	8.142840e-02
1.020000e-01	1.140000e-01	2.869000e+00	7.365009e-02	7.365009e-02
1.140000e-01	1.280000e-01	2.520000e+00	6.633873e-02	6.633873e-02
1.280000e-01	1.450000e-01	2.092000e+00	5.246709e-02	5.246709e-02
1.450000e-01	1.650000e-01	1.806000e+00	4.688649e-02	4.688649e-02
1.650000e-01	1.890000e-01	1.462000e+00	3.753100e-02	3.753100e-02
1.890000e-01	2.190000e-01	1.216000e+00	3.109728e-02	3.109728e-02
2.190000e-01	2.580000e-01	9.890000e-01	2.446651e-02	2.446651e-02
2.580000e-01	3.120000e-01	7.380000e-01	1.812237e-02	1.812237e-02
3.120000e-01	3.910000e-01	5.540000e-01	1.385000e-02	1.385000e-02
3.910000e-01	5.240000e-01	3.250000e-01	8.437491e-03	8.437491e-03
5.240000e-01	6.950000e-01	1.970000e-01	6.551546e-03	6.551546e-03
6.950000e-01	9.180000e-01	1.020000e-01	3.984533e-03	3.984533e-03
9.180000e-01	1.153000e+00	6.050000e-02	2.899585e-03	2.899585e-03
1.153000e+00	1.496000e+00	3.520000e-02	2.110826e-03	2.110826e-03
1.496000e+00	1.947000e+00	1.740000e-02	1.250139e-03	1.250139e-03
1.947000e+00	2.522000e+00	9.500000e-03	7.753420e-04	7.753420e-04
2.522000e+00	3.277000e+00	5.670000e-03	7.519968e-04	7.519968e-04
3.277000e+00	5.000000e+00	2.080000e-03	1.977094e-04	1.977094e-04
5.000000e+00	1.000000e+01	6.030000e-04	5.804482e-05	5.804482e-05
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-0.yoda/ATLAS_2015_I1408516/d03-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-0.yoda/ATLAS_2015_I1408516/d03-x01-y01
ScaledBy=3.63916709189123206e-07
Title=POWHEG (hdamp=1.0, pTcut=10 GeV)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	1.069345e+02	3.496507e+00	3.496507e+00
4.000000e-03	8.000000e-03	3.478455e+00	6.445874e-01	6.445874e-01
8.000000e-03	1.200000e-02	3.590665e+00	6.347458e-01	6.347458e-01
1.200000e-02	1.600000e-02	3.478455e+00	6.247491e-01	6.247491e-01
1.600000e-02	2.000000e-02	2.131957e+00	5.142028e-01	5.142028e-01
2.000000e-02	2.400000e-02	2.468582e+00	5.263034e-01	5.263034e-01
2.400000e-02	2.900000e-02	2.333932e+00	4.577217e-01	4.577217e-01
2.900000e-02	3.400000e-02	1.795332e+00	4.014485e-01	4.014485e-01
3.400000e-02	3.900000e-02	2.423698e+00	4.664410e-01	4.664410e-01
3.900000e-02	4.500000e-02	1.496110e+00	3.345404e-01	3.345404e-01
4.500000e-02	5.100000e-02	1.271694e+00	3.084310e-01	3.084310e-01
5.100000e-02	5.700000e-02	1.795332e+00	3.664706e-01	3.664706e-01
5.700000e-02	6.400000e-02	1.474737e+00	3.075039e-01	3.075039e-01
6.400000e-02	7.200000e-02	1.514811e+00	3.021300e-01	3.021300e-01
7.200000e-02	8.100000e-02	1.595851e+00	2.821092e-01	2.821092e-01
8.100000e-02	9.100000e-02	1.436266e+00	2.538983e-01	2.538983e-01
9.100000e-02	1.020000e-01	1.713726e+00	2.644337e-01	2.644337e-01
1.020000e-01	1.140000e-01	1.047277e+00	1.979168e-01	1.979168e-01
1.140000e-01	1.280000e-01	1.154142e+00	1.923570e-01	1.923570e-01
1.280000e-01	1.450000e-01	1.478509e+00	1.975740e-01	1.975740e-01
1.450000e-01	1.650000e-01	1.189407e+00	1.694307e-01	1.694307e-01
1.650000e-01	1.890000e-01	1.888839e+00	1.897982e-01	1.897982e-01
1.890000e-01	2.190000e-01	1.256732e+00	1.371207e-01	1.371207e-01
2.190000e-01	2.580000e-01	7.940892e-01	1.009870e-01	1.009870e-01
2.580000e-01	3.120000e-01	7.979254e-01	8.311723e-02	8.311723e-02
3.120000e-01	3.910000e-01	4.601959e-01	5.238020e-02	5.238020e-02
3.910000e-01	5.240000e-01	2.969723e-01	3.165735e-02	3.165735e-02
5.240000e-01	6.950000e-01	1.784833e-01	2.196028e-02	2.196028e-02
6.950000e-01	9.180000e-01	6.038112e-02	1.102404e-02	1.102404e-02
9.180000e-01	1.153000e+00	4.010849e-02	8.752389e-03	8.752389e-03
1.153000e+00	1.496000e+00	1.177696e-02	4.339973e-03	4.339973e-03
1.496000e+00	1.947000e+00	9.951951e-04	9.951952e-04	9.951952e-04
1.947000e+00	2.522000e+00	7.025212e-03	2.341738e-03	2.341738e-03
2.522000e+00	3.277000e+00	2.377923e-03	1.188962e-03	1.188962e-03
3.277000e+00	5.000000e+00	2.083961e-03	7.367914e-04	7.367914e-04
5.000000e+00	1.000000e+01	4.488330e-04	2.007242e-04	2.007242e-04
# END HISTO1D

