# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $66\,\text{GeV}\leq m_{\ell\ell} < 116\,\text{GeV}$, $2.0 \leq |y_{\ell\ell}| < 2.4$
RatioPlotReference=/ATLAS_2015_I1408516/d34-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$p_\text{T}^{\ell\ell}$ [GeV]
YLabel=$\text{d}\sigma/\text{d} p_\text{T}^{\ell\ell}$ [pb GeV$^{-1}$]
XMin=0.9
DrawOnly=/ATLAS_2015_I1408516/d34-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-0.yoda/ATLAS_2015_I1408516/d34-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d34-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-0.yoda/ATLAS_2015_I1408516/d34-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d34-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d34-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	5.365000e-01	2.122398e-02	2.122398e-02
2.000000e+00	4.000000e+00	1.085000e+00	3.631105e-02	3.631105e-02
4.000000e+00	6.000000e+00	1.096000e+00	3.455443e-02	3.455443e-02
6.000000e+00	8.000000e+00	9.443000e-01	3.002518e-02	3.002518e-02
8.000000e+00	1.000000e+01	8.161000e-01	2.606414e-02	2.606414e-02
1.000000e+01	1.300000e+01	6.474000e-01	1.999617e-02	1.999617e-02
1.300000e+01	1.600000e+01	5.024000e-01	1.631060e-02	1.631060e-02
1.600000e+01	2.000000e+01	4.021000e-01	1.272187e-02	1.272187e-02
2.000000e+01	2.500000e+01	2.924000e-01	9.662482e-03	9.662482e-03
2.500000e+01	3.000000e+01	2.160000e-01	7.340823e-03	7.340823e-03
3.000000e+01	3.700000e+01	1.540000e-01	5.294555e-03	5.294555e-03
3.700000e+01	4.500000e+01	1.101000e-01	3.780456e-03	3.780456e-03
4.500000e+01	5.500000e+01	7.374000e-02	2.675045e-03	2.675045e-03
5.500000e+01	6.500000e+01	4.985000e-02	1.877830e-03	1.877830e-03
6.500000e+01	7.500000e+01	3.186000e-02	1.327840e-03	1.327840e-03
7.500000e+01	8.500000e+01	2.038000e-02	8.941689e-04	8.941689e-04
8.500000e+01	1.050000e+02	1.133000e-02	4.599478e-04	4.599478e-04
1.050000e+02	1.500000e+02	4.185000e-03	1.689621e-04	1.689621e-04
1.500000e+02	2.000000e+02	1.225000e-03	6.904698e-05	6.904698e-05
2.000000e+02	9.000000e+02	3.746000e-05	2.798741e-06	2.798741e-06
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-0.yoda/ATLAS_2015_I1408516/d34-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-0.yoda/ATLAS_2015_I1408516/d34-x01-y01
ScaledBy=9.99999999994852112e-07
Title=POWHEG (hdamp=1.0, pTcut=10 GeV)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	4.855043e+00	5.483512e-02	5.483512e-02
2.000000e+00	4.000000e+00	1.295007e-01	8.936397e-03	8.936397e-03
4.000000e+00	6.000000e+00	7.955045e-02	7.004026e-03	7.004026e-03
6.000000e+00	8.000000e+00	5.920030e-02	6.042106e-03	6.042106e-03
8.000000e+00	1.000000e+01	5.426695e-02	5.914890e-03	5.914890e-03
1.000000e+01	1.300000e+01	6.355813e-01	1.621684e-02	1.621684e-02
1.300000e+01	1.600000e+01	5.060807e-01	1.451760e-02	1.451760e-02
1.600000e+01	2.000000e+01	3.915855e-01	1.104855e-02	1.104855e-02
2.000000e+01	2.500000e+01	2.629480e-01	8.128825e-03	8.128825e-03
2.500000e+01	3.000000e+01	1.943744e-01	6.959362e-03	6.959362e-03
3.000000e+01	3.700000e+01	1.312626e-01	4.834842e-03	4.834842e-03
3.700000e+01	4.500000e+01	9.034215e-02	3.744716e-03	3.744716e-03
4.500000e+01	5.500000e+01	6.105033e-02	2.749546e-03	2.749546e-03
5.500000e+01	6.500000e+01	3.959021e-02	2.230266e-03	2.230266e-03
6.500000e+01	7.500000e+01	2.491347e-02	1.752906e-03	1.752906e-03
7.500000e+01	8.500000e+01	1.578675e-02	1.417000e-03	1.417000e-03
8.500000e+01	1.050000e+02	8.571715e-03	7.270432e-04	7.270432e-04
1.050000e+02	1.500000e+02	3.234091e-03	2.977223e-04	2.977223e-04
1.500000e+02	2.000000e+02	7.153372e-04	1.328348e-04	1.328348e-04
2.000000e+02	9.000000e+02	2.466680e-05	6.592480e-06	6.592480e-06
# END HISTO1D

