# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $116\,\text{GeV}\leq m_{\ell\ell} < 150\,\text{GeV}$, $|y_{\ell\ell}| < 2.4$
RatioPlotReference=/ATLAS_2015_I1408516/d16-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$\phi^\ast_\eta$
YLabel=$1/\sigma$ $\text{d}\sigma/\text{d}\phi^\ast_\eta$
XMin=0.001
DrawOnly=/ATLAS_2015_I1408516/d16-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdampDef-0.yoda/ATLAS_2015_I1408516/d16-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-0.yoda/ATLAS_2015_I1408516/d16-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp0008-0.yoda/ATLAS_2015_I1408516/d16-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d16-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdampDef-0.yoda/ATLAS_2015_I1408516/d16-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-0.yoda/ATLAS_2015_I1408516/d16-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp0008-0.yoda/ATLAS_2015_I1408516/d16-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d16-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d16-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	1.137800e+01	3.549134e-01	3.549134e-01
4.000000e-03	8.000000e-03	1.162300e+01	2.492856e-01	2.492856e-01
8.000000e-03	1.200000e-02	1.095000e+01	2.351065e-01	2.351065e-01
1.200000e-02	1.600000e-02	1.081900e+01	2.284833e-01	2.284833e-01
1.600000e-02	2.000000e-02	9.950000e+00	2.161693e-01	2.161693e-01
2.000000e-02	2.400000e-02	9.516000e+00	2.067404e-01	2.067404e-01
2.400000e-02	2.900000e-02	8.890000e+00	1.826241e-01	1.826241e-01
2.900000e-02	3.400000e-02	7.962000e+00	1.776793e-01	1.776793e-01
3.400000e-02	3.900000e-02	7.172000e+00	1.606912e-01	1.606912e-01
3.900000e-02	4.500000e-02	6.523000e+00	1.417158e-01	1.417158e-01
4.500000e-02	5.100000e-02	6.099000e+00	1.381393e-01	1.381393e-01
5.100000e-02	5.700000e-02	5.466000e+00	1.288864e-01	1.288864e-01
5.700000e-02	6.400000e-02	4.992000e+00	1.130663e-01	1.130663e-01
6.400000e-02	7.200000e-02	4.404000e+00	1.024344e-01	1.024344e-01
7.200000e-02	8.100000e-02	4.017000e+00	9.098305e-02	9.098305e-02
8.100000e-02	9.100000e-02	3.397000e+00	8.010008e-02	8.010008e-02
9.100000e-02	1.020000e-01	3.067000e+00	7.980096e-02	7.980096e-02
1.020000e-01	1.140000e-01	2.480000e+00	7.599491e-02	7.599491e-02
1.140000e-01	1.280000e-01	2.131000e+00	5.280410e-02	5.280410e-02
1.280000e-01	1.450000e-01	1.859000e+00	4.621401e-02	4.621401e-02
1.450000e-01	1.650000e-01	1.530000e+00	3.791191e-02	3.791191e-02
1.650000e-01	1.890000e-01	1.219000e+00	3.273191e-02	3.273191e-02
1.890000e-01	2.190000e-01	9.660000e-01	2.801400e-02	2.801400e-02
2.190000e-01	2.580000e-01	7.510000e-01	2.109495e-02	2.109495e-02
2.580000e-01	3.120000e-01	5.360000e-01	1.821612e-02	1.821612e-02
3.120000e-01	3.910000e-01	3.560000e-01	1.191936e-02	1.191936e-02
3.910000e-01	5.240000e-01	2.040000e-01	7.503762e-03	7.503762e-03
5.240000e-01	6.950000e-01	9.880000e-02	5.125235e-03	5.125235e-03
6.950000e-01	9.180000e-01	5.150000e-02	2.929621e-03	2.929621e-03
9.180000e-01	1.153000e+00	2.520000e-02	1.887310e-03	1.887310e-03
1.153000e+00	1.496000e+00	1.440000e-02	1.568278e-03	1.568278e-03
1.496000e+00	1.947000e+00	6.510000e-03	6.113510e-04	6.113510e-04
1.947000e+00	2.522000e+00	2.500000e-03	4.135668e-04	4.135668e-04
2.522000e+00	3.277000e+00	1.320000e-03	2.367662e-04	2.367662e-04
3.277000e+00	5.000000e+00	6.680000e-04	1.110428e-04	1.110428e-04
5.000000e+00	1.000000e+01	2.290000e-04	3.869558e-05	3.869558e-05
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdampDef-0.yoda/ATLAS_2015_I1408516/d16-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdampDef-0.yoda/ATLAS_2015_I1408516/d16-x01-y01
ScaledBy=7.71386819125214633e-07
Title= POWHEG+Pythia 8 (hdamp=Default)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	1.070409e+01	1.595672e+00	1.595672e+00
4.000000e-03	8.000000e-03	1.117983e+01	1.630746e+00	1.630746e+00
8.000000e-03	1.200000e-02	7.849667e+00	1.366452e+00	1.366452e+00
1.200000e-02	1.600000e-02	1.308278e+01	1.764081e+00	1.764081e+00
1.600000e-02	2.000000e-02	1.141770e+01	1.648003e+00	1.648003e+00
2.000000e-02	2.400000e-02	1.070409e+01	1.595672e+00	1.595672e+00
2.400000e-02	2.900000e-02	1.122740e+01	1.461683e+00	1.461683e+00
2.900000e-02	3.400000e-02	8.563274e+00	1.276537e+00	1.276537e+00
3.400000e-02	3.900000e-02	5.518554e+00	1.024770e+00	1.024770e+00
3.900000e-02	4.500000e-02	7.611798e+00	1.098668e+00	1.098668e+00
4.500000e-02	5.100000e-02	6.184587e+00	9.903264e-01	9.903264e-01
5.100000e-02	5.700000e-02	5.867428e+00	9.645992e-01	9.645992e-01
5.700000e-02	6.400000e-02	4.485524e+00	7.808295e-01	7.808295e-01
6.400000e-02	7.200000e-02	4.281636e+00	7.136060e-01	7.136060e-01
7.200000e-02	8.100000e-02	3.700180e+00	6.430662e-01	6.430662e-01
8.100000e-02	9.100000e-02	2.949572e+00	5.465806e-01	5.465806e-01
9.100000e-02	1.020000e-01	2.940922e+00	5.043640e-01	5.043640e-01
1.020000e-01	1.140000e-01	2.299397e+00	4.269873e-01	4.269873e-01
1.140000e-01	1.280000e-01	2.378687e+00	4.133997e-01	4.133997e-01
1.280000e-01	1.450000e-01	2.574579e+00	3.877653e-01	3.877653e-01
1.450000e-01	1.650000e-01	9.990485e-01	2.180103e-01	2.180103e-01
1.650000e-01	1.890000e-01	1.427212e+00	2.378687e-01	2.378687e-01
1.890000e-01	2.190000e-01	8.563273e-01	1.765862e-01	1.765862e-01
2.190000e-01	2.580000e-01	7.563005e-01	1.358356e-01	1.358356e-01
2.580000e-01	3.120000e-01	3.876380e-01	8.631954e-02	8.631954e-02
3.120000e-01	3.910000e-01	3.974515e-01	6.918742e-02	6.918742e-02
3.910000e-01	5.240000e-01	1.931565e-01	3.717300e-02	3.717300e-02
5.240000e-01	6.950000e-01	7.789854e-02	2.081926e-02	2.081926e-02
6.950000e-01	9.180000e-01	5.546713e-02	1.538382e-02	1.538382e-02
9.180000e-01	1.153000e+00	2.834180e-02	1.071219e-02	1.071219e-02
1.153000e+00	1.496000e+00	1.664387e-02	6.794833e-03	6.794833e-03
1.496000e+00	1.947000e+00	4.219401e-03	2.983567e-03	2.983567e-03
1.947000e+00	2.522000e+00	1.654739e-03	1.654739e-03	1.654739e-03
2.522000e+00	3.277000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.277000e+00	5.000000e+00	1.104440e-03	7.809569e-04	7.809569e-04
5.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-0.yoda/ATLAS_2015_I1408516/d16-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-0.yoda/ATLAS_2015_I1408516/d16-x01-y01
ScaledBy=7.69266060790661112e-07
