# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $66\,\text{GeV}\leq m_{\ell\ell} < 116\,\text{GeV}$, $|y_{\ell\ell}| < 0.4$
RatioPlotReference=/ATLAS_2015_I1408516/d17-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$p_\text{T}^{\ell\ell}$ [GeV]
YLabel=$1/\sigma$ $\text{d}\sigma/\text{d} p_\text{T}^{\ell\ell}$
XMin=0.9
DrawOnly=/ATLAS_2015_I1408516/d17-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdampDef-0.yoda/ATLAS_2015_I1408516/d17-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-0.yoda/ATLAS_2015_I1408516/d17-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp0008-0.yoda/ATLAS_2015_I1408516/d17-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d17-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdampDef-0.yoda/ATLAS_2015_I1408516/d17-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-0.yoda/ATLAS_2015_I1408516/d17-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp0008-0.yoda/ATLAS_2015_I1408516/d17-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d17-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d17-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	2.622000e-02	2.528565e-04	2.528565e-04
2.000000e+00	4.000000e+00	5.438000e-02	2.772847e-04	2.772847e-04
4.000000e+00	6.000000e+00	5.513000e-02	2.968841e-04	2.968841e-04
6.000000e+00	8.000000e+00	4.896000e-02	2.636577e-04	2.636577e-04
8.000000e+00	1.000000e+01	4.127000e-02	2.476200e-04	2.476200e-04
1.000000e+01	1.300000e+01	3.293000e-02	1.544554e-04	1.544554e-04
1.300000e+01	1.600000e+01	2.532000e-02	1.363524e-04	1.363524e-04
1.600000e+01	2.000000e+01	1.920000e-02	1.033952e-04	1.033952e-04
2.000000e+01	2.500000e+01	1.377000e-02	6.310207e-05	6.310207e-05
2.500000e+01	3.000000e+01	9.812000e-03	5.003158e-05	5.003158e-05
3.000000e+01	3.700000e+01	6.865000e-03	3.696916e-05	3.696916e-05
3.700000e+01	4.500000e+01	4.627000e-03	3.400137e-05	3.400137e-05
4.500000e+01	5.500000e+01	3.029000e-03	2.675140e-05	2.675140e-05
5.500000e+01	6.500000e+01	1.926000e-03	1.964142e-05	1.964142e-05
6.500000e+01	7.500000e+01	1.275000e-03	1.582233e-05	1.582233e-05
7.500000e+01	8.500000e+01	8.504000e-04	1.134575e-05	1.134575e-05
8.500000e+01	1.050000e+02	4.956000e-04	5.800849e-06	5.800849e-06
1.050000e+02	1.500000e+02	1.896000e-04	2.235351e-06	2.235351e-06
1.500000e+02	2.000000e+02	5.379000e-05	9.347705e-07	9.347705e-07
2.000000e+02	9.000000e+02	2.288000e-06	5.395024e-08	5.395024e-08
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdampDef-0.yoda/ATLAS_2015_I1408516/d17-x01-y01
ErrorBars=1
