# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $66\,\text{GeV}\leq m_{\ell\ell} < 116\,\text{GeV}$, $1.2 \leq |y_{\ell\ell}| < 1.6$
RatioPlotReference=/ATLAS_2015_I1408516/d20-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$p_\text{T}^{\ell\ell}$ [GeV]
YLabel=$1/\sigma$ $\text{d}\sigma/\text{d} p_\text{T}^{\ell\ell}$
XMin=0.9
DrawOnly=/ATLAS_2015_I1408516/d20-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdampDef-0.yoda/ATLAS_2015_I1408516/d20-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-0.yoda/ATLAS_2015_I1408516/d20-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp0008-0.yoda/ATLAS_2015_I1408516/d20-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d20-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdampDef-0.yoda/ATLAS_2015_I1408516/d20-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-0.yoda/ATLAS_2015_I1408516/d20-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp0008-0.yoda/ATLAS_2015_I1408516/d20-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d20-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d20-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	2.584000e-02	3.329251e-04	3.329251e-04
2.000000e+00	4.000000e+00	5.405000e-02	4.953764e-04	4.953764e-04
4.000000e+00	6.000000e+00	5.436000e-02	3.646580e-04	3.646580e-04
6.000000e+00	8.000000e+00	4.804000e-02	4.019315e-04	4.019315e-04
8.000000e+00	1.000000e+01	4.096000e-02	3.009933e-04	3.009933e-04
1.000000e+01	1.300000e+01	3.316000e-02	1.785721e-04	1.785721e-04
1.300000e+01	1.600000e+01	2.573000e-02	1.819386e-04	1.819386e-04
1.600000e+01	2.000000e+01	1.956000e-02	1.312125e-04	1.312125e-04
2.000000e+01	2.500000e+01	1.390000e-02	9.828784e-05	9.828784e-05
2.500000e+01	3.000000e+01	1.000000e-02	9.000000e-05	9.000000e-05
3.000000e+01	3.700000e+01	6.933000e-03	6.239700e-05	6.239700e-05
3.700000e+01	4.500000e+01	4.611000e-03	4.814025e-05	4.814025e-05
4.500000e+01	5.500000e+01	2.995000e-03	3.764657e-05	3.764657e-05
5.500000e+01	6.500000e+01	1.940000e-03	2.864376e-05	2.864376e-05
6.500000e+01	7.500000e+01	1.290000e-03	2.162434e-05	2.162434e-05
7.500000e+01	8.500000e+01	8.719000e-04	1.547469e-05	1.547469e-05
8.500000e+01	1.050000e+02	4.966000e-04	7.788867e-06	7.788867e-06
1.050000e+02	1.500000e+02	1.933000e-04	3.240298e-06	3.240298e-06
1.500000e+02	2.000000e+02	5.229000e-05	1.420518e-06	1.420518e-06
2.000000e+02	9.000000e+02	2.078000e-06	9.100596e-08	9.100596e-08
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdampDef-0.yoda/ATLAS_2015_I1408516/d20-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdampDef-0.yoda/ATLAS_2015_I1408516/d20-x01-y01
ScaledBy=1.02265164789483652e-08
Title= POWHEG+Pythia 8 (hdamp=Default)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	2.423149e-02	3.922528e-04	3.922528e-04
2.000000e+00	4.000000e+00	6.527115e-02	6.436540e-04	6.436540e-04
4.000000e+00	6.000000e+00	6.265375e-02	6.320860e-04	6.320860e-04
6.000000e+00	8.000000e+00	4.985683e-02	5.654182e-04	5.654182e-04
8.000000e+00	1.000000e+01	4.177757e-02	5.183264e-04	5.183264e-04
1.000000e+01	1.300000e+01	3.291413e-02	3.759357e-04	3.759357e-04
1.300000e+01	1.600000e+01	2.494629e-02	3.276674e-04	3.276674e-04
1.600000e+01	2.000000e+01	1.866872e-02	2.460134e-04	2.460134e-04
2.000000e+01	2.500000e+01	1.295205e-02	1.826897e-04	1.826897e-04
2.500000e+01	3.000000e+01	8.890346e-03	1.512839e-04	1.512839e-04
3.000000e+01	3.700000e+01	6.303396e-03	1.076082e-04	1.076082e-04
3.700000e+01	4.500000e+01	4.121624e-03	8.132117e-05	8.132117e-05
4.500000e+01	5.500000e+01	2.584608e-03	5.779084e-05	5.779084e-05
5.500000e+01	6.500000e+01	1.715504e-03	4.679096e-05	4.679096e-05
6.500000e+01	7.500000e+01	1.035609e-03	3.640619e-05	3.640619e-05
7.500000e+01	8.500000e+01	6.824173e-04	2.966302e-05	2.966302e-05
8.500000e+01	1.050000e+02	4.074322e-04	1.610448e-05	1.610448e-05
1.050000e+02	1.500000e+02	1.435193e-04	6.404357e-06	6.404357e-06
1.500000e+02	2.000000e+02	4.263532e-05	3.298989e-06	3.298989e-06
2.000000e+02	9.000000e+02	1.333480e-06	1.550139e-07	1.550139e-07
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-0.yoda/ATLAS_2015_I1408516/d20-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-0.yoda/ATLAS_2015_I1408516/d20-x01-y01
ScaledBy=1.02470291442995999e-08
Title= POWHEG+Pythia 8 (hdamp=1.0)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	2.466319e-02	3.962897e-04	3.962897e-04
2.000000e+00	4.000000e+00	6.823295e-02	6.582725e-04	6.582725e-04
4.000000e+00	6.000000e+00	6.260270e-02	6.323142e-04	6.323142e-04
6.000000e+00	8.000000e+00	5.258070e-02	5.811108e-04	5.811108e-04
8.000000e+00	1.000000e+01	4.265349e-02	5.233749e-04	5.233749e-04
1.000000e+01	1.300000e+01	3.337713e-02	3.793059e-04	3.793059e-04
1.300000e+01	1.600000e+01	2.513291e-02	3.287518e-04	3.287518e-04
1.600000e+01	2.000000e+01	1.814827e-02	2.420694e-04	2.420694e-04
2.000000e+01	2.500000e+01	1.282259e-02	1.825316e-04	1.825316e-04
2.500000e+01	3.000000e+01	8.806208e-03	1.508543e-04	1.508543e-04
3.000000e+01	3.700000e+01	6.028360e-03	1.056297e-04	1.056297e-04
3.700000e+01	4.500000e+01	3.840394e-03	7.884564e-05	7.884564e-05
4.500000e+01	5.500000e+01	2.381013e-03	5.540608e-05	5.540608e-05
5.500000e+01	6.500000e+01	1.431893e-03	4.280185e-05	4.280185e-05
6.500000e+01	7.500000e+01	9.541744e-04	3.500084e-05	3.500084e-05
7.500000e+01	8.500000e+01	6.040998e-04	2.774625e-05	2.774625e-05
8.500000e+01	1.050000e+02	3.374365e-04	1.465689e-05	1.465689e-05
1.050000e+02	1.500000e+02	1.272232e-04	6.003802e-06	6.003802e-06
1.500000e+02	2.000000e+02	4.094734e-05	3.217128e-06	3.217128e-06
2.000000e+02	9.000000e+02	1.588786e-06	1.693651e-07	1.693651e-07
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp0008-0.yoda/ATLAS_2015_I1408516/d20-x01-y01
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp0008-0.yoda/ATLAS_2015_I1408516/d20-x01-y01
ScaledBy=1.00539868570300825e-08
Title= POWHEG+Pythia 8 (hdamp=0.008)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	-2.319610e-02	4.846560e-03	4.846560e-03
2.000000e+00	4.000000e+00	1.336061e-01	2.432446e-03	2.432446e-03
4.000000e+00	6.000000e+00	8.769260e-02	1.596652e-03	1.596652e-03
6.000000e+00	8.000000e+00	5.923055e-02	1.263577e-03	1.263577e-03
8.000000e+00	1.000000e+01	4.223605e-02	1.047872e-03	1.047872e-03
1.000000e+01	1.300000e+01	2.955000e-02	7.042816e-04	7.042816e-04
1.300000e+01	1.600000e+01	2.014971e-02	5.865775e-04	5.865775e-04
1.600000e+01	2.000000e+01	1.410044e-02	4.137252e-04	4.137252e-04
2.000000e+01	2.500000e+01	9.600488e-03	2.950379e-04	2.950379e-04
2.500000e+01	3.000000e+01	6.475760e-03	2.386858e-04	2.386858e-04
3.000000e+01	3.700000e+01	4.233863e-03	1.624801e-04	1.624801e-04
3.700000e+01	4.500000e+01	3.079032e-03	1.294214e-04	1.294214e-04
4.500000e+01	5.500000e+01	1.853947e-03	8.982404e-05	8.982404e-05
5.500000e+01	6.500000e+01	1.218557e-03	7.282270e-05	7.282270e-05
6.500000e+01	7.500000e+01	8.747498e-04	6.170009e-05	6.170009e-05
7.500000e+01	8.500000e+01	6.484463e-04	5.312279e-05	5.312279e-05
8.500000e+01	1.050000e+02	3.046392e-04	2.574671e-05	2.574671e-05
1.050000e+02	1.500000e+02	1.324939e-04	1.131972e-05	1.131972e-05
1.500000e+02	2.000000e+02	3.133432e-05	5.222387e-06	5.222387e-06
2.000000e+02	9.000000e+02	1.616453e-06	3.170125e-07	3.170125e-07
# END HISTO1D

