# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $116\,\text{GeV}\leq m_{\ell\ell} < 150\,\text{GeV}$, $|y_{\ell\ell}| < 2.4$
RatioPlotReference=/ATLAS_2015_I1408516/d40-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$p_\text{T}^{\ell\ell}$ [GeV]
YLabel=$\text{d}\sigma/\text{d} p_\text{T}^{\ell\ell}$ [pb GeV$^{-1}$]
XMin=0.9
DrawOnly=/ATLAS_2015_I1408516/d40-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp0008-0.yoda/ATLAS_2015_I1408516/d40-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-0.yoda/ATLAS_2015_I1408516/d40-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdampDef-0.yoda/ATLAS_2015_I1408516/d40-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d40-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp0008-0.yoda/ATLAS_2015_I1408516/d40-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-0.yoda/ATLAS_2015_I1408516/d40-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdampDef-0.yoda/ATLAS_2015_I1408516/d40-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d40-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d40-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	1.199000e-01	8.093916e-03	8.093916e-03
2.000000e+00	4.000000e+00	2.471000e-01	1.048939e-02	1.048939e-02
4.000000e+00	6.000000e+00	2.532000e-01	9.747378e-03	9.747378e-03
6.000000e+00	8.000000e+00	2.363000e-01	9.001138e-03	9.001138e-03
8.000000e+00	1.000000e+01	2.118000e-01	8.477293e-03	8.477293e-03
1.000000e+01	1.300000e+01	1.669000e-01	6.275973e-03	6.275973e-03
1.300000e+01	1.600000e+01	1.341000e-01	5.352253e-03	5.352253e-03
1.600000e+01	2.000000e+01	1.039000e-01	4.120785e-03	4.120785e-03
2.000000e+01	2.500000e+01	8.132000e-02	3.066530e-03	3.066530e-03
2.500000e+01	3.000000e+01	5.917000e-02	2.480910e-03	2.480910e-03
3.000000e+01	3.700000e+01	4.336000e-02	1.894490e-03	1.894490e-03
3.700000e+01	4.500000e+01	3.127000e-02	1.366252e-03	1.366252e-03
4.500000e+01	5.500000e+01	2.288000e-02	1.015522e-03	1.015522e-03
5.500000e+01	6.500000e+01	1.425000e-02	7.611421e-04	7.611421e-04
6.500000e+01	7.500000e+01	1.029000e-02	6.508781e-04	6.508781e-04
7.500000e+01	8.500000e+01	6.970000e-03	5.160154e-04	5.160154e-04
8.500000e+01	1.050000e+02	4.935000e-03	2.956885e-04	2.956885e-04
1.050000e+02	1.500000e+02	2.105000e-03	1.172203e-04	1.172203e-04
1.500000e+02	2.000000e+02	6.743000e-04	4.887163e-05	4.887163e-05
2.000000e+02	9.000000e+02	2.498000e-05	2.114613e-06	2.114613e-06
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp0008-0.yoda/ATLAS_2015_I1408516/d40-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp0008-0.yoda/ATLAS_2015_I1408516/d40-x01-y01
ScaledBy=1.00000000000103333e-06
Title=POWHEG (hdamp=0.008)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	-5.194345e-02	5.112539e-02	5.112539e-02
2.000000e+00	4.000000e+00	1.493374e-01	2.677104e-02	2.677104e-02
4.000000e+00	6.000000e+00	1.147085e-01	1.771564e-02	1.771564e-02
6.000000e+00	8.000000e+00	9.090100e-02	1.435641e-02	1.435641e-02
8.000000e+00	1.000000e+01	5.194345e-02	1.103586e-02	1.103586e-02
1.000000e+01	1.300000e+01	2.452885e-02	6.289339e-03	6.289339e-03
1.300000e+01	1.600000e+01	2.741459e-02	6.289339e-03	6.289339e-03
1.600000e+01	2.000000e+01	1.298586e-02	3.748695e-03	3.748695e-03
2.000000e+01	2.500000e+01	1.298586e-02	3.352935e-03	3.352935e-03
2.500000e+01	3.000000e+01	6.060068e-03	2.290491e-03	2.290491e-03
3.000000e+01	3.700000e+01	6.802117e-03	2.050916e-03	2.050916e-03
3.700000e+01	4.500000e+01	4.328620e-03	1.530398e-03	1.530398e-03
4.500000e+01	5.500000e+01	3.030034e-03	1.145245e-03	1.145245e-03
5.500000e+01	6.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e+01	7.500000e+01	1.731448e-03	8.657240e-04	8.657240e-04
7.500000e+01	8.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e+01	1.050000e+02	8.657240e-04	4.328620e-04	4.328620e-04
1.050000e+02	1.500000e+02	2.885747e-04	1.666087e-04	1.666087e-04
1.500000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-0.yoda/ATLAS_2015_I1408516/d40-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-0.yoda/ATLAS_2015_I1408516/d40-x01-y01
ScaledBy=9.99999999994852324e-07
Title=POWHEG (hdamp=1.0)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	2.158345e-02	3.648269e-03	3.648269e-03
2.000000e+00	4.000000e+00	8.325045e-02	7.165058e-03	7.165058e-03
4.000000e+00	6.000000e+00	6.968370e-02	6.555292e-03	6.555292e-03
6.000000e+00	8.000000e+00	6.413370e-02	6.288825e-03	6.288825e-03
8.000000e+00	1.000000e+01	5.056695e-02	5.718763e-03	5.718763e-03
1.000000e+01	1.300000e+01	4.193357e-02	4.152041e-03	4.152041e-03
1.300000e+01	1.600000e+01	3.206684e-02	3.630854e-03	3.630854e-03
1.600000e+01	2.000000e+01	2.651680e-02	2.859381e-03	2.859381e-03
2.000000e+01	2.500000e+01	1.825343e-02	2.121918e-03	2.121918e-03
2.500000e+01	3.000000e+01	1.307340e-02	1.795770e-03	1.795770e-03
3.000000e+01	3.700000e+01	8.633380e-03	1.258259e-03	1.258259e-03
3.700000e+01	4.500000e+01	4.779193e-03	9.120672e-04	9.120672e-04
4.500000e+01	5.500000e+01	4.316690e-03	7.296538e-04	7.296538e-04
5.500000e+01	6.500000e+01	2.220012e-03	5.232619e-04	5.232619e-04
6.500000e+01	7.500000e+01	1.850010e-03	4.776705e-04	4.776705e-04
7.500000e+01	8.500000e+01	1.480008e-03	4.272415e-04	4.272415e-04
8.500000e+01	1.050000e+02	9.250050e-04	2.388352e-04	2.388352e-04
1.050000e+02	1.500000e+02	2.466680e-04	8.222267e-05	8.222267e-05
1.500000e+02	2.000000e+02	1.480008e-04	6.042107e-05	6.042107e-05
2.000000e+02	9.000000e+02	3.523829e-06	2.491723e-06	2.491723e-06
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdampDef-0.yoda/ATLAS_2015_I1408516/d40-x01-y01
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdampDef-0.yoda/ATLAS_2015_I1408516/d40-x01-y01
ScaledBy=9.99999999987650850e-07
Title=POWHEG (hdamp=Default)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	2.713612e-02	4.090924e-03	4.090924e-03
2.000000e+00	4.000000e+00	7.524105e-02	6.812006e-03	6.812006e-03
4.000000e+00	6.000000e+00	6.722355e-02	6.438851e-03	6.438851e-03
6.000000e+00	8.000000e+00	5.982280e-02	6.074086e-03	6.074086e-03
8.000000e+00	1.000000e+01	4.872167e-02	5.550570e-03	5.550570e-03
1.000000e+01	1.300000e+01	3.782610e-02	3.986279e-03	3.986279e-03
1.300000e+01	1.600000e+01	3.782610e-02	3.943645e-03	3.943645e-03
1.600000e+01	2.000000e+01	2.251064e-02	2.634671e-03	2.634671e-03
2.000000e+01	2.500000e+01	1.751513e-02	2.136416e-03	2.136416e-03
2.500000e+01	3.000000e+01	1.307468e-02	1.829517e-03	1.829517e-03
3.000000e+01	3.700000e+01	7.753177e-03	1.195105e-03	1.195105e-03
3.700000e+01	4.500000e+01	7.092395e-03	1.068208e-03	1.068208e-03
4.500000e+01	5.500000e+01	4.563802e-03	7.502844e-04	7.502844e-04
5.500000e+01	6.500000e+01	2.960304e-03	6.042696e-04	6.042696e-04
6.500000e+01	7.500000e+01	1.973536e-03	4.933840e-04	4.933840e-04
7.500000e+01	8.500000e+01	1.973536e-03	4.933840e-04	4.933840e-04
8.500000e+01	1.050000e+02	9.250950e-04	2.388585e-04	2.388585e-04
1.050000e+02	1.500000e+02	4.111533e-04	1.061593e-04	1.061593e-04
1.500000e+02	2.000000e+02	9.867680e-05	4.933840e-05	4.933840e-05
2.000000e+02	9.000000e+02	3.524171e-06	2.491965e-06	2.491965e-06
# END HISTO1D

