# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $66\,\text{GeV}\leq m_{\ell\ell} < 116\,\text{GeV}$, $2.0 \leq |y_{\ell\ell}| < 2.4$
RatioPlotReference=/ATLAS_2015_I1408516/d34-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$p_\text{T}^{\ell\ell}$ [GeV]
YLabel=$\text{d}\sigma/\text{d} p_\text{T}^{\ell\ell}$ [pb GeV$^{-1}$]
XMin=0.9
DrawOnly=/ATLAS_2015_I1408516/d34-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp91_pT1001.yoda/ATLAS_2015_I1408516/d34-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp91_pT100.yoda/ATLAS_2015_I1408516/d34-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d34-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp91_pT1001.yoda/ATLAS_2015_I1408516/d34-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp91_pT100.yoda/ATLAS_2015_I1408516/d34-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d34-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d34-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	5.365000e-01	2.122398e-02	2.122398e-02
2.000000e+00	4.000000e+00	1.085000e+00	3.631105e-02	3.631105e-02
4.000000e+00	6.000000e+00	1.096000e+00	3.455443e-02	3.455443e-02
6.000000e+00	8.000000e+00	9.443000e-01	3.002518e-02	3.002518e-02
8.000000e+00	1.000000e+01	8.161000e-01	2.606414e-02	2.606414e-02
1.000000e+01	1.300000e+01	6.474000e-01	1.999617e-02	1.999617e-02
1.300000e+01	1.600000e+01	5.024000e-01	1.631060e-02	1.631060e-02
1.600000e+01	2.000000e+01	4.021000e-01	1.272187e-02	1.272187e-02
2.000000e+01	2.500000e+01	2.924000e-01	9.662482e-03	9.662482e-03
2.500000e+01	3.000000e+01	2.160000e-01	7.340823e-03	7.340823e-03
3.000000e+01	3.700000e+01	1.540000e-01	5.294555e-03	5.294555e-03
3.700000e+01	4.500000e+01	1.101000e-01	3.780456e-03	3.780456e-03
4.500000e+01	5.500000e+01	7.374000e-02	2.675045e-03	2.675045e-03
5.500000e+01	6.500000e+01	4.985000e-02	1.877830e-03	1.877830e-03
6.500000e+01	7.500000e+01	3.186000e-02	1.327840e-03	1.327840e-03
7.500000e+01	8.500000e+01	2.038000e-02	8.941689e-04	8.941689e-04
8.500000e+01	1.050000e+02	1.133000e-02	4.599478e-04	4.599478e-04
1.050000e+02	1.500000e+02	4.185000e-03	1.689621e-04	1.689621e-04
1.500000e+02	2.000000e+02	1.225000e-03	6.904698e-05	6.904698e-05
2.000000e+02	9.000000e+02	3.746000e-05	2.798741e-06	2.798741e-06
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp91_pT1001.yoda/ATLAS_2015_I1408516/d34-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp91_pT1001.yoda/ATLAS_2015_I1408516/d34-x01-y01
ScaledBy=1.00000000000118271e-05
Title=hdamp91_pT1001
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	5.001720e+00	1.760667e-01	1.760667e-01
2.000000e+00	4.000000e+00	1.110123e-01	2.616585e-02	2.616585e-02
4.000000e+00	6.000000e+00	9.251025e-02	2.388604e-02	2.388604e-02
6.000000e+00	8.000000e+00	4.933880e-02	1.744390e-02	1.744390e-02
8.000000e+00	1.000000e+01	1.171796e-01	2.688286e-02	2.688286e-02
1.000000e+01	1.300000e+01	6.249580e-01	5.102320e-02	5.102320e-02
1.300000e+01	1.600000e+01	5.057227e-01	4.559948e-02	4.559948e-02
1.600000e+01	2.000000e+01	3.977940e-01	3.502381e-02	3.502381e-02
2.000000e+01	2.500000e+01	3.009666e-01	2.747068e-02	2.747068e-02
2.500000e+01	3.000000e+01	1.702189e-01	2.049194e-02	2.049194e-02
3.000000e+01	3.700000e+01	1.409680e-01	1.614992e-02	1.614992e-02
3.700000e+01	4.500000e+01	8.942657e-02	1.194302e-02	1.194302e-02
4.500000e+01	5.500000e+01	8.140902e-02	1.002076e-02	1.002076e-02
5.500000e+01	6.500000e+01	4.810533e-02	7.898062e-03	7.898062e-03
6.500000e+01	7.500000e+01	1.973552e-02	4.933880e-03	4.933880e-03
7.500000e+01	8.500000e+01	2.096899e-02	5.085727e-03	5.085727e-03
8.500000e+01	1.050000e+02	8.017555e-03	2.223670e-03	2.223670e-03
1.050000e+02	1.500000e+02	4.111567e-03	1.061602e-03	1.061602e-03
1.500000e+02	2.000000e+02	4.933880e-04	3.488780e-04	3.488780e-04
2.000000e+02	9.000000e+02	7.048400e-05	3.524200e-05	3.524200e-05
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp91_pT100.yoda/ATLAS_2015_I1408516/d34-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp91_pT100.yoda/ATLAS_2015_I1408516/d34-x01-y01
ScaledBy=1.00000000000118271e-05
Title=hdamp91_pT100
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	4.915378e+00	1.743299e-01	1.743299e-01
2.000000e+00	4.000000e+00	1.233470e-01	2.758123e-02	2.758123e-02
4.000000e+00	6.000000e+00	6.784085e-02	2.045479e-02	2.045479e-02
6.000000e+00	8.000000e+00	3.700410e-02	1.510686e-02	1.510686e-02
8.000000e+00	1.000000e+01	4.933880e-02	1.744390e-02	1.744390e-02
1.000000e+01	1.300000e+01	5.879540e-01	4.950982e-02	4.950982e-02
1.300000e+01	1.600000e+01	4.728303e-01	4.409163e-02	4.409163e-02
1.600000e+01	2.000000e+01	3.731248e-01	3.447653e-02	3.447653e-02
2.000000e+01	2.500000e+01	2.886320e-01	2.691114e-02	2.691114e-02
2.500000e+01	3.000000e+01	1.628180e-01	2.004152e-02	2.004152e-02
3.000000e+01	3.700000e+01	1.409680e-01	1.614992e-02	1.614992e-02
3.700000e+01	4.500000e+01	8.788474e-02	1.164062e-02	1.164062e-02
4.500000e+01	5.500000e+01	7.647514e-02	9.712352e-03	9.712352e-03
